benchmark,query_idx,running_time_sec
JOBLight,0,0.032063
JOBLight,1,0.035154
JOBLight,2,0.033921
JOBLight,3,0.034838
JOBLight,4,0.078773
JOBLight,5,0.528820
JOBLight,6,0.218639
JOBLight,7,0.967556
JOBLight,8,0.097517
JOBLight,9,0.083533
JOBLight,10,0.113584
JOBLight,11,0.257840
JOBLight,12,0.190478
JOBLight,13,0.370602
JOBLight,14,0.286049
JOBLight,15,0.284116
JOBLight,16,0.231547
JOBLight,17,0.286756
JOBLight,18,1.315764
JOBLight,19,0.382040
JOBLight,20,0.377462
JOBLight,21,0.782702
JOBLight,22,0.524696
JOBLight,23,0.367432
JOBLight,24,0.093723
JOBLight,25,0.262313
JOBLight,26,0.162002
JOBLight,27,0.355565
JOBLight,28,0.231023
JOBLight,29,1.208396
JOBLight,30,0.072743
JOBLight,31,0.068053
JOBLight,32,0.368219
JOBLight,33,0.085706
JOBLight,34,0.041875
JOBLight,35,0.105303
JOBLight,36,0.107458
JOBLight,37,0.068956
JOBLight,38,0.108001
JOBLight,39,0.113297
JOBLight,40,1.503143
JOBLight,41,0.734825
JOBLight,42,1.778099
JOBLight,43,0.426886
JOBLight,44,0.458761
JOBLight,45,0.407670
JOBLight,46,0.637654
JOBLight,47,0.437569
JOBLight,48,1.030320
JOBLight,49,1.130288
JOBLight,50,1.321821
JOBLight,51,0.777025
JOBLight,52,0.181160
JOBLight,53,0.172373
JOBLight,54,0.178400
JOBLight,55,0.149579
JOBLight,56,0.141249
JOBLight,57,3.434434
JOBLight,58,0.136638
JOBLight,59,23.740205
JOBLight,60,4.454373
JOBLight,61,0.594362
JOBLight,62,0.725191
JOBLight,63,0.575736
JOBLight,64,0.161487
JOBLight,65,0.240525
JOBLight,66,0.188580
JOBLight,67,0.155445
JOBLight,68,0.149410
JOBLight,69,2.085786
