benchmark,query_idx,running_time_sec
STATS,0,0.025180
STATS,1,0.050547
STATS,2,0.031692
STATS,3,0.034090
STATS,4,0.059955
STATS,5,0.025460
STATS,6,0.029492
STATS,7,0.027113
STATS,8,0.037619
STATS,9,0.029912
STATS,10,0.027434
STATS,11,0.029991
STATS,12,0.028081
STATS,13,0.025972
STATS,14,0.059162
STATS,15,0.029139
STATS,16,0.023353
STATS,17,0.026305
STATS,18,0.023676
STATS,19,0.026720
STATS,20,0.026714
STATS,21,0.035221
STATS,22,0.026540
STATS,23,0.023143
STATS,24,0.032574
STATS,25,0.026640
STATS,26,0.028184
STATS,27,0.079439
STATS,28,0.032540
STATS,29,0.671530
STATS,30,0.048043
STATS,31,0.117065
STATS,32,0.028373
STATS,33,1.106099
STATS,34,0.035135
STATS,35,0.024545
STATS,36,0.047377
STATS,37,0.247464
STATS,38,0.040020
STATS,39,0.026463
STATS,40,0.023859
STATS,41,0.036325
STATS,42,0.051174
STATS,43,0.039680
STATS,44,0.028789
STATS,45,0.039928
STATS,46,0.213756
STATS,47,0.027140
STATS,48,0.071906
STATS,49,0.027471
STATS,50,0.370990
STATS,51,0.699124
STATS,52,0.030299
STATS,53,0.027009
STATS,54,0.025995
STATS,55,0.085859
STATS,56,0.025785
STATS,57,36.752091
STATS,58,0.757340
STATS,59,0.117092
STATS,60,0.037073
STATS,61,0.030809
STATS,62,0.031782
STATS,63,0.037023
STATS,64,0.033051
STATS,65,0.035536
STATS,66,0.030514
STATS,67,3.203839
STATS,68,0.280643
STATS,69,0.218347
STATS,70,0.268296
STATS,71,0.035403
STATS,72,0.039300
STATS,73,0.140595
STATS,74,0.076256
STATS,75,0.040773
STATS,76,0.064622
STATS,77,0.031558
STATS,78,0.060270
STATS,79,0.032975
STATS,80,0.030087
STATS,81,0.037138
STATS,82,0.036748
STATS,83,0.061782
STATS,84,0.059741
STATS,85,0.032696
STATS,86,0.031398
STATS,87,0.058638
STATS,88,0.035584
STATS,89,0.030582
STATS,90,0.045674
STATS,91,0.027745
STATS,92,0.034169
STATS,93,0.031615
STATS,94,0.065742
STATS,95,0.059752
STATS,96,0.171044
STATS,97,0.127875
STATS,98,0.037901
STATS,99,0.034300
STATS,100,0.039631
STATS,101,0.040396
STATS,102,0.040505
STATS,103,0.083298
STATS,104,0.444819
STATS,105,0.035847
STATS,106,1.503353
STATS,107,1.075384
STATS,108,0.042213
STATS,109,0.040927
STATS,110,0.048521
STATS,111,0.048972
STATS,112,0.088024
STATS,113,0.076946
STATS,114,0.148055
STATS,115,0.033526
STATS,116,0.036129
STATS,117,0.039509
STATS,118,0.037025
STATS,119,27.479027
STATS,120,0.042280
STATS,121,23.053653
STATS,122,0.468864
STATS,123,0.058933
STATS,124,0.031216
STATS,125,6.621196
STATS,126,0.036463
STATS,127,0.040444
STATS,128,0.043837
STATS,129,0.033641
STATS,130,0.039863
STATS,131,0.029432
STATS,132,0.100342
STATS,133,0.031110
STATS,134,4.280614
STATS,135,0.930978
STATS,136,0.029486
STATS,137,0.090129
STATS,138,0.074630
STATS,139,0.292306
STATS,140,0.721283
STATS,141,0.708629
STATS,142,0.387663
STATS,143,0.122552
STATS,144,0.037407
STATS,145,0.058992
