benchmark,query_idx,running_time_sec
JOBLight,0,0.032921
JOBLight,1,0.033646
JOBLight,2,0.034560
JOBLight,3,0.035521
JOBLight,4,0.079326
JOBLight,5,0.520474
JOBLight,6,0.219458
JOBLight,7,0.962763
JOBLight,8,0.096157
JOBLight,9,0.083241
JOBLight,10,0.112416
JOBLight,11,0.259256
JOBLight,12,0.190125
JOBLight,13,0.347115
JOBLight,14,0.289291
JOBLight,15,0.282809
JOBLight,16,0.229100
JOBLight,17,0.286074
JOBLight,18,1.306500
JOBLight,19,0.374769
JOBLight,20,0.381510
JOBLight,21,0.786211
JOBLight,22,0.623620
JOBLight,23,0.386147
JOBLight,24,0.223804
JOBLight,25,0.266932
JOBLight,26,0.160435
JOBLight,27,0.363813
JOBLight,28,0.229105
JOBLight,29,1.225299
JOBLight,30,0.067024
JOBLight,31,0.061785
JOBLight,32,0.368707
JOBLight,33,0.144876
JOBLight,34,0.038759
JOBLight,35,0.151590
JOBLight,36,0.257041
JOBLight,37,0.126192
JOBLight,38,0.160163
JOBLight,39,0.157440
JOBLight,40,1.759717
JOBLight,41,0.806649
JOBLight,42,2.108755
JOBLight,43,0.427931
JOBLight,44,0.461634
JOBLight,45,0.465922
JOBLight,46,0.743463
JOBLight,47,0.532917
JOBLight,48,1.931582
JOBLight,49,1.250284
JOBLight,50,1.332817
JOBLight,51,0.785579
JOBLight,52,0.185350
JOBLight,53,0.170406
JOBLight,54,0.181270
JOBLight,55,0.189753
JOBLight,56,0.184980
JOBLight,57,4.345031
JOBLight,58,0.141926
JOBLight,59,26.659625
JOBLight,60,3.952091
JOBLight,61,0.645829
JOBLight,62,0.726270
JOBLight,63,0.578362
JOBLight,64,0.163031
JOBLight,65,0.271984
JOBLight,66,0.231874
JOBLight,67,0.175648
JOBLight,68,0.158176
JOBLight,69,2.140062
