benchmark,query_idx,running_time_sec
JOBLightRanges,0,0.057824
JOBLightRanges,1,0.053476
JOBLightRanges,2,0.082036
JOBLightRanges,3,0.071915
JOBLightRanges,4,0.057359
JOBLightRanges,5,0.069624
JOBLightRanges,6,0.078598
JOBLightRanges,7,0.067738
JOBLightRanges,8,0.055485
JOBLightRanges,9,0.073219
JOBLightRanges,10,0.061624
JOBLightRanges,11,0.072661
JOBLightRanges,12,0.043077
JOBLightRanges,13,0.074470
JOBLightRanges,14,0.073435
JOBLightRanges,15,0.064027
JOBLightRanges,16,0.056377
JOBLightRanges,17,0.054803
JOBLightRanges,18,0.071418
JOBLightRanges,19,0.071987
JOBLightRanges,20,0.067356
JOBLightRanges,21,0.054826
JOBLightRanges,22,0.044542
JOBLightRanges,23,0.064031
JOBLightRanges,24,0.070409
JOBLightRanges,25,0.061610
JOBLightRanges,26,0.048627
JOBLightRanges,27,0.046492
JOBLightRanges,28,0.057012
JOBLightRanges,29,0.070046
JOBLightRanges,30,0.068694
JOBLightRanges,31,0.057104
JOBLightRanges,32,0.056024
JOBLightRanges,33,0.084497
JOBLightRanges,34,0.069735
JOBLightRanges,35,0.070449
JOBLightRanges,36,0.074049
JOBLightRanges,37,0.077737
JOBLightRanges,38,0.077718
JOBLightRanges,39,0.073187
JOBLightRanges,40,0.073135
JOBLightRanges,41,0.063079
JOBLightRanges,42,0.069518
JOBLightRanges,43,0.067448
JOBLightRanges,44,0.108370
JOBLightRanges,45,0.069738
JOBLightRanges,46,0.045490
JOBLightRanges,47,0.073478
JOBLightRanges,48,0.088773
JOBLightRanges,49,0.042040
JOBLightRanges,50,0.042798
JOBLightRanges,51,0.070708
JOBLightRanges,52,0.047933
JOBLightRanges,53,0.055642
JOBLightRanges,54,0.066451
JOBLightRanges,55,0.066900
JOBLightRanges,56,0.062768
JOBLightRanges,57,0.054353
JOBLightRanges,58,0.059163
JOBLightRanges,59,0.066353
JOBLightRanges,60,0.057482
JOBLightRanges,61,0.068512
JOBLightRanges,62,0.074517
JOBLightRanges,63,0.064270
JOBLightRanges,64,0.055460
JOBLightRanges,65,0.078586
JOBLightRanges,66,0.068385
JOBLightRanges,67,0.085919
JOBLightRanges,68,0.064534
JOBLightRanges,69,0.054980
JOBLightRanges,70,0.085783
JOBLightRanges,71,0.090967
JOBLightRanges,72,0.059737
JOBLightRanges,73,0.066138
JOBLightRanges,74,0.065732
JOBLightRanges,75,0.069492
JOBLightRanges,76,0.057262
JOBLightRanges,77,0.068909
JOBLightRanges,78,0.087519
JOBLightRanges,79,0.056729
JOBLightRanges,80,0.084651
JOBLightRanges,81,0.054178
JOBLightRanges,82,0.049616
JOBLightRanges,83,0.075395
JOBLightRanges,84,0.052631
JOBLightRanges,85,0.052724
JOBLightRanges,86,0.062093
JOBLightRanges,87,0.064776
JOBLightRanges,88,0.057129
JOBLightRanges,89,0.079644
JOBLightRanges,90,0.057128
JOBLightRanges,91,0.050688
JOBLightRanges,92,0.085335
JOBLightRanges,93,0.067035
JOBLightRanges,94,0.071692
JOBLightRanges,95,0.088610
JOBLightRanges,96,0.057538
JOBLightRanges,97,0.062345
JOBLightRanges,98,0.092768
JOBLightRanges,99,0.056302
JOBLightRanges,100,0.058993
JOBLightRanges,101,0.062223
JOBLightRanges,102,0.061504
JOBLightRanges,103,0.092283
JOBLightRanges,104,0.059675
JOBLightRanges,105,0.051665
JOBLightRanges,106,0.094160
JOBLightRanges,107,0.053665
JOBLightRanges,108,0.065442
JOBLightRanges,109,0.076847
JOBLightRanges,110,0.076636
JOBLightRanges,111,0.081684
JOBLightRanges,112,0.066303
JOBLightRanges,113,0.115207
JOBLightRanges,114,0.053452
JOBLightRanges,115,0.068075
JOBLightRanges,116,0.063450
JOBLightRanges,117,0.095548
JOBLightRanges,118,0.123651
JOBLightRanges,119,0.032534
JOBLightRanges,120,0.061692
JOBLightRanges,121,0.083896
JOBLightRanges,122,0.068935
JOBLightRanges,123,0.132175
JOBLightRanges,124,0.061927
JOBLightRanges,125,0.078046
JOBLightRanges,126,0.056131
JOBLightRanges,127,0.058594
JOBLightRanges,128,0.064956
JOBLightRanges,129,0.212908
JOBLightRanges,130,0.031334
JOBLightRanges,131,0.137994
JOBLightRanges,132,0.056657
JOBLightRanges,133,0.099217
JOBLightRanges,134,0.118887
JOBLightRanges,135,0.097679
JOBLightRanges,136,0.082194
JOBLightRanges,137,0.053144
JOBLightRanges,138,0.864372
JOBLightRanges,139,0.057505
JOBLightRanges,140,0.098930
JOBLightRanges,141,0.118666
JOBLightRanges,142,0.079482
JOBLightRanges,143,0.061332
JOBLightRanges,144,0.044617
JOBLightRanges,145,0.073404
JOBLightRanges,146,0.048673
JOBLightRanges,147,0.091521
JOBLightRanges,148,0.062119
JOBLightRanges,149,0.060202
JOBLightRanges,150,0.102051
JOBLightRanges,151,0.079130
JOBLightRanges,152,0.063454
JOBLightRanges,153,0.055601
JOBLightRanges,154,0.049028
JOBLightRanges,155,0.052194
JOBLightRanges,156,0.065032
JOBLightRanges,157,0.113473
JOBLightRanges,158,0.058327
JOBLightRanges,159,0.053450
JOBLightRanges,160,0.126143
JOBLightRanges,161,0.068539
JOBLightRanges,162,0.137180
JOBLightRanges,163,0.052358
JOBLightRanges,164,0.064461
JOBLightRanges,165,0.054773
JOBLightRanges,166,0.041101
JOBLightRanges,167,0.068094
JOBLightRanges,168,0.048911
JOBLightRanges,169,0.056170
JOBLightRanges,170,0.076952
JOBLightRanges,171,0.087204
JOBLightRanges,172,0.093695
JOBLightRanges,173,0.062996
JOBLightRanges,174,0.055589
JOBLightRanges,175,0.056157
JOBLightRanges,176,0.085888
JOBLightRanges,177,0.059553
JOBLightRanges,178,0.052877
JOBLightRanges,179,0.064372
JOBLightRanges,180,0.065008
JOBLightRanges,181,0.077144
JOBLightRanges,182,0.055343
JOBLightRanges,183,0.033592
JOBLightRanges,184,0.063430
JOBLightRanges,185,0.054696
JOBLightRanges,186,0.047621
JOBLightRanges,187,0.051073
JOBLightRanges,188,0.070646
JOBLightRanges,189,0.071333
JOBLightRanges,190,0.080324
JOBLightRanges,191,0.064717
JOBLightRanges,192,0.098975
JOBLightRanges,193,0.053177
JOBLightRanges,194,0.058239
JOBLightRanges,195,0.052402
JOBLightRanges,196,0.047368
JOBLightRanges,197,0.051752
JOBLightRanges,198,0.051445
JOBLightRanges,199,0.066592
JOBLightRanges,200,0.081264
JOBLightRanges,201,0.059170
JOBLightRanges,202,0.074473
JOBLightRanges,203,0.054080
JOBLightRanges,204,0.060448
JOBLightRanges,205,0.071934
JOBLightRanges,206,0.073081
JOBLightRanges,207,0.086310
JOBLightRanges,208,0.042943
JOBLightRanges,209,0.074619
JOBLightRanges,210,0.065583
JOBLightRanges,211,0.079190
JOBLightRanges,212,0.068334
JOBLightRanges,213,0.057976
JOBLightRanges,214,0.054520
JOBLightRanges,215,0.056597
JOBLightRanges,216,0.083295
JOBLightRanges,217,0.065391
JOBLightRanges,218,0.071661
JOBLightRanges,219,0.058312
JOBLightRanges,220,0.084521
JOBLightRanges,221,0.136441
JOBLightRanges,222,0.051646
JOBLightRanges,223,0.092437
JOBLightRanges,224,0.072109
JOBLightRanges,225,0.144644
JOBLightRanges,226,0.050730
JOBLightRanges,227,0.047241
JOBLightRanges,228,0.089015
JOBLightRanges,229,0.065623
JOBLightRanges,230,0.184335
JOBLightRanges,231,0.179592
JOBLightRanges,232,0.073838
JOBLightRanges,233,0.070696
JOBLightRanges,234,0.066045
JOBLightRanges,235,0.057024
JOBLightRanges,236,0.073612
JOBLightRanges,237,0.053284
JOBLightRanges,238,0.252294
JOBLightRanges,239,0.058075
JOBLightRanges,240,0.053592
JOBLightRanges,241,0.079173
JOBLightRanges,242,0.117859
JOBLightRanges,243,0.070046
JOBLightRanges,244,0.224053
JOBLightRanges,245,0.070952
JOBLightRanges,246,0.237077
JOBLightRanges,247,0.058027
JOBLightRanges,248,0.085574
JOBLightRanges,249,0.082942
JOBLightRanges,250,0.149640
JOBLightRanges,251,0.167281
JOBLightRanges,252,0.064902
JOBLightRanges,253,0.108908
JOBLightRanges,254,0.225643
JOBLightRanges,255,0.077406
JOBLightRanges,256,0.078975
JOBLightRanges,257,0.133515
JOBLightRanges,258,0.183610
JOBLightRanges,259,0.062185
JOBLightRanges,260,0.208823
JOBLightRanges,261,0.134691
JOBLightRanges,262,0.119206
JOBLightRanges,263,0.161821
JOBLightRanges,264,0.063180
JOBLightRanges,265,0.115891
JOBLightRanges,266,0.072510
JOBLightRanges,267,0.059576
JOBLightRanges,268,0.053903
JOBLightRanges,269,0.047514
JOBLightRanges,270,0.080884
JOBLightRanges,271,0.220744
JOBLightRanges,272,0.075828
JOBLightRanges,273,0.119263
JOBLightRanges,274,0.168295
JOBLightRanges,275,0.257581
JOBLightRanges,276,0.147861
JOBLightRanges,277,0.237273
JOBLightRanges,278,0.075612
JOBLightRanges,279,0.130817
JOBLightRanges,280,0.261680
JOBLightRanges,281,0.111624
JOBLightRanges,282,0.115421
JOBLightRanges,283,0.118340
JOBLightRanges,284,0.329296
JOBLightRanges,285,0.124679
JOBLightRanges,286,0.085127
JOBLightRanges,287,0.099153
JOBLightRanges,288,0.557545
JOBLightRanges,289,0.246315
JOBLightRanges,290,0.214586
JOBLightRanges,291,0.249485
JOBLightRanges,292,0.217830
JOBLightRanges,293,0.091516
JOBLightRanges,294,0.092034
JOBLightRanges,295,0.144953
JOBLightRanges,296,0.273933
JOBLightRanges,297,0.240805
JOBLightRanges,298,0.349064
JOBLightRanges,299,0.140102
JOBLightRanges,300,0.291545
JOBLightRanges,301,0.199656
JOBLightRanges,302,0.301826
JOBLightRanges,303,0.087362
JOBLightRanges,304,0.173729
JOBLightRanges,305,0.136857
JOBLightRanges,306,0.151111
JOBLightRanges,307,0.273190
JOBLightRanges,308,0.042439
JOBLightRanges,309,0.252237
JOBLightRanges,310,0.316849
JOBLightRanges,311,0.216567
JOBLightRanges,312,0.095129
JOBLightRanges,313,0.147461
JOBLightRanges,314,0.132385
JOBLightRanges,315,0.249756
JOBLightRanges,316,0.077814
JOBLightRanges,317,0.196468
JOBLightRanges,318,0.144171
JOBLightRanges,319,0.110781
JOBLightRanges,320,0.262440
JOBLightRanges,321,0.369899
JOBLightRanges,322,0.123928
JOBLightRanges,323,0.272289
JOBLightRanges,324,0.086769
JOBLightRanges,325,0.105680
JOBLightRanges,326,0.429943
JOBLightRanges,327,0.239721
JOBLightRanges,328,0.104148
JOBLightRanges,329,0.099416
JOBLightRanges,330,0.277808
JOBLightRanges,331,0.068890
JOBLightRanges,332,0.135339
JOBLightRanges,333,0.257459
JOBLightRanges,334,0.150206
JOBLightRanges,335,0.117057
JOBLightRanges,336,0.274816
JOBLightRanges,337,0.331419
JOBLightRanges,338,0.212777
JOBLightRanges,339,0.120322
JOBLightRanges,340,0.129641
JOBLightRanges,341,0.142830
JOBLightRanges,342,0.090652
JOBLightRanges,343,0.100349
JOBLightRanges,344,0.136289
JOBLightRanges,345,0.087114
JOBLightRanges,346,0.108947
JOBLightRanges,347,0.140090
JOBLightRanges,348,0.295461
JOBLightRanges,349,0.197216
JOBLightRanges,350,0.102450
JOBLightRanges,351,0.233499
