benchmark,query_idx,running_time_sec
JOBM,0,0.870761
JOBM,1,0.868542
JOBM,2,0.958973
JOBM,3,0.112799
JOBM,4,0.141908
JOBM,5,0.221864
JOBM,6,0.212295
JOBM,7,0.745853
JOBM,8,0.436747
JOBM,9,0.781129
JOBM,10,0.208616
JOBM,11,0.342813
JOBM,12,0.345053
JOBM,13,0.270923
JOBM,14,0.685714
JOBM,15,0.644170
JOBM,16,0.978566
JOBM,17,0.782652
JOBM,18,0.713018
JOBM,19,1.805335
JOBM,20,1.388196
JOBM,21,0.366778
JOBM,22,0.479415
JOBM,23,0.392736
JOBM,24,0.388702
JOBM,25,0.471555
JOBM,26,0.501405
JOBM,27,0.504472
JOBM,28,0.501942
JOBM,29,0.480807
JOBM,30,0.510322
JOBM,31,1.524974
JOBM,32,1.469647
JOBM,33,1.633885
JOBM,34,1.593900
JOBM,35,0.628174
JOBM,36,1.963975
JOBM,37,1.024620
JOBM,38,0.116669
JOBM,39,0.119560
JOBM,40,0.107028
JOBM,41,0.112427
JOBM,42,0.401176
JOBM,43,0.363678
JOBM,44,0.357341
JOBM,45,0.191966
JOBM,46,0.182354
JOBM,47,0.188998
JOBM,48,0.895973
JOBM,49,0.660784
JOBM,50,1.322607
JOBM,51,1.702179
JOBM,52,0.776637
JOBM,53,0.726231
JOBM,54,0.927354
JOBM,55,1.432776
JOBM,56,1.036270
JOBM,57,1.386158
JOBM,58,0.920644
JOBM,59,1.564329
JOBM,60,0.392984
JOBM,61,0.353130
JOBM,62,0.385877
JOBM,63,0.186790
JOBM,64,0.148947
JOBM,65,0.201742
JOBM,66,1.066279
JOBM,67,0.810448
JOBM,68,1.154480
JOBM,69,0.375853
JOBM,70,0.788629
JOBM,71,1.014064
JOBM,72,0.152142
JOBM,73,0.159627
JOBM,74,0.138919
JOBM,75,0.154313
JOBM,76,1.408628
JOBM,77,1.423600
JOBM,78,1.551989
JOBM,79,1.217200
JOBM,80,1.187647
JOBM,81,1.423546
JOBM,82,0.091097
JOBM,83,0.114458
JOBM,84,0.102927
JOBM,85,0.103508
JOBM,86,0.095680
JOBM,87,0.805560
JOBM,88,0.602726
JOBM,89,0.891016
JOBM,90,0.218613
JOBM,91,0.161332
JOBM,92,0.307115
JOBM,93,0.153837
JOBM,94,0.140678
JOBM,95,0.888045
JOBM,96,0.354627
JOBM,97,0.330123
JOBM,98,0.300637
JOBM,99,0.552140
JOBM,100,0.354875
JOBM,101,0.550511
JOBM,102,0.472190
JOBM,103,0.419041
JOBM,104,0.905409
JOBM,105,0.560739
JOBM,106,0.555664
JOBM,107,1.075980
JOBM,108,1.080856
JOBM,109,0.815405
JOBM,110,0.605260
JOBM,111,0.854656
JOBM,112,0.859115
