benchmark,query_idx,running_time_sec
STATS,0,0.025333
STATS,1,0.058941
STATS,2,0.037172
STATS,3,0.033690
STATS,4,0.063677
STATS,5,0.028259
STATS,6,0.030346
STATS,7,0.030411
STATS,8,0.037392
STATS,9,0.066264
STATS,10,0.034785
STATS,11,0.034137
STATS,12,0.032346
STATS,13,0.027008
STATS,14,0.069302
STATS,15,0.032067
STATS,16,0.026658
STATS,17,0.029000
STATS,18,0.025409
STATS,19,0.029072
STATS,20,0.026777
STATS,21,0.036681
STATS,22,0.025497
STATS,23,0.024686
STATS,24,0.032930
STATS,25,0.026756
STATS,26,0.038793
STATS,27,0.248915
STATS,28,0.032217
STATS,29,0.918547
STATS,30,0.078345
STATS,31,0.198282
STATS,32,0.027325
STATS,33,2.903714
STATS,34,0.050298
STATS,35,0.030849
STATS,36,0.045843
STATS,37,4.866841
STATS,38,0.048656
STATS,39,0.027804
STATS,40,0.025715
STATS,41,0.036885
STATS,42,0.066128
STATS,43,0.048898
STATS,44,0.028454
STATS,45,0.038508
STATS,46,0.217835
STATS,47,0.030340
STATS,48,1.451921
STATS,49,0.029360
STATS,50,0.487880
STATS,51,0.830307
STATS,52,0.032056
STATS,53,0.024018
STATS,54,0.026705
STATS,55,0.089249
STATS,56,0.026313
STATS,57,65.346348
STATS,58,0.688172
STATS,59,0.102119
STATS,60,0.038363
STATS,61,0.028196
STATS,62,0.029620
STATS,63,0.033401
STATS,64,0.040209
STATS,65,0.035387
STATS,66,0.029945
STATS,67,4.436933
STATS,68,0.410861
STATS,69,0.829978
STATS,70,0.269906
STATS,71,0.045372
STATS,72,0.037319
STATS,73,0.473725
STATS,74,0.101593
STATS,75,0.047182
STATS,76,0.107790
STATS,77,0.033223
STATS,78,0.061937
STATS,79,0.033740
STATS,80,0.037438
STATS,81,0.034727
STATS,82,0.036093
STATS,83,0.083817
STATS,84,0.058507
STATS,85,0.037560
STATS,86,0.030285
STATS,87,0.065809
STATS,88,0.033037
STATS,89,0.028808
STATS,90,0.042454
STATS,91,0.024933
STATS,92,0.035549
STATS,93,0.030162
STATS,94,0.102430
STATS,95,0.144789
STATS,96,0.319448
STATS,97,0.137504
STATS,98,0.045970
STATS,99,0.032225
STATS,100,0.041891
STATS,101,0.072061
STATS,102,0.056780
STATS,103,0.180546
STATS,104,1.008302
STATS,105,0.050419
STATS,106,2.682361
STATS,107,2.907531
STATS,108,0.043012
STATS,109,0.037891
STATS,110,0.067858
STATS,111,0.049419
STATS,112,0.101089
STATS,113,0.108189
STATS,114,0.219704
STATS,115,0.034112
STATS,116,0.031981
STATS,117,0.039446
STATS,118,0.039799
STATS,119,47.357093
STATS,120,0.049189
STATS,121,45.927083
STATS,122,0.464828
STATS,123,0.060838
STATS,124,0.030063
STATS,125,17.232210
STATS,126,0.036762
STATS,127,0.040186
STATS,128,0.043490
STATS,129,0.031603
STATS,130,0.134866
STATS,131,0.033688
STATS,132,0.083379
STATS,133,0.030048
STATS,134,6.439347
STATS,135,0.945015
STATS,136,0.030804
STATS,137,0.085979
STATS,138,0.118206
STATS,139,1.871845
STATS,140,2.439682
STATS,141,1.326615
STATS,142,2.612461
STATS,143,0.246773
STATS,144,0.037557
STATS,145,0.047976
