benchmark,query_idx,running_time_sec
JOBLight,0,0.034050
JOBLight,1,0.034202
JOBLight,2,0.034280
JOBLight,3,0.035960
JOBLight,4,0.078082
JOBLight,5,0.517843
JOBLight,6,0.313100
JOBLight,7,0.957985
JOBLight,8,0.095479
JOBLight,9,0.080842
JOBLight,10,0.112868
JOBLight,11,0.252056
JOBLight,12,0.194165
JOBLight,13,0.376503
JOBLight,14,0.284858
JOBLight,15,0.277682
JOBLight,16,0.232364
JOBLight,17,0.286658
JOBLight,18,1.320911
JOBLight,19,0.372267
JOBLight,20,0.378020
JOBLight,21,0.781637
JOBLight,22,0.532269
JOBLight,23,0.372746
JOBLight,24,0.093515
JOBLight,25,0.257470
JOBLight,26,0.163169
JOBLight,27,0.363801
JOBLight,28,0.234797
JOBLight,29,1.211447
JOBLight,30,0.070168
JOBLight,31,0.067140
JOBLight,32,0.367471
JOBLight,33,0.084373
JOBLight,34,0.043488
JOBLight,35,0.104148
JOBLight,36,0.104562
JOBLight,37,0.069183
JOBLight,38,0.111916
JOBLight,39,0.113783
JOBLight,40,1.493103
JOBLight,41,0.741794
JOBLight,42,1.781714
JOBLight,43,0.426120
JOBLight,44,0.475081
JOBLight,45,0.410451
JOBLight,46,0.663091
JOBLight,47,0.475948
JOBLight,48,1.042867
JOBLight,49,0.771142
JOBLight,50,1.313917
JOBLight,51,0.793759
JOBLight,52,0.181967
JOBLight,53,0.171522
JOBLight,54,0.182078
JOBLight,55,0.332956
JOBLight,56,0.322479
JOBLight,57,4.127002
JOBLight,58,0.142065
JOBLight,59,26.161657
JOBLight,60,4.456286
JOBLight,61,1.053086
JOBLight,62,0.718405
JOBLight,63,0.571836
JOBLight,64,0.159753
JOBLight,65,0.421420
JOBLight,66,0.371963
JOBLight,67,0.172942
JOBLight,68,0.153271
JOBLight,69,2.579161
