benchmark,query_idx,running_time_sec
JOBLightRanges,0,0.059669
JOBLightRanges,1,0.056108
JOBLightRanges,2,0.083551
JOBLightRanges,3,0.073823
JOBLightRanges,4,0.063293
JOBLightRanges,5,0.073068
JOBLightRanges,6,0.074234
JOBLightRanges,7,0.057803
JOBLightRanges,8,0.060511
JOBLightRanges,9,0.070808
JOBLightRanges,10,0.059027
JOBLightRanges,11,0.081368
JOBLightRanges,12,0.047060
JOBLightRanges,13,0.076760
JOBLightRanges,14,0.067702
JOBLightRanges,15,0.063892
JOBLightRanges,16,0.071513
JOBLightRanges,17,0.057303
JOBLightRanges,18,0.065674
JOBLightRanges,19,0.078336
JOBLightRanges,20,0.066687
JOBLightRanges,21,0.059537
JOBLightRanges,22,0.060723
JOBLightRanges,23,0.061468
JOBLightRanges,24,0.072828
JOBLightRanges,25,0.065112
JOBLightRanges,26,0.055311
JOBLightRanges,27,0.053128
JOBLightRanges,28,0.061783
JOBLightRanges,29,0.077326
JOBLightRanges,30,0.072441
JOBLightRanges,31,0.058832
JOBLightRanges,32,0.059081
JOBLightRanges,33,0.089945
JOBLightRanges,34,0.069079
JOBLightRanges,35,0.078949
JOBLightRanges,36,0.076678
JOBLightRanges,37,0.081217
JOBLightRanges,38,0.076607
JOBLightRanges,39,0.067478
JOBLightRanges,40,0.069957
JOBLightRanges,41,0.060700
JOBLightRanges,42,0.061553
JOBLightRanges,43,0.068798
JOBLightRanges,44,0.110696
JOBLightRanges,45,0.065287
JOBLightRanges,46,0.048994
JOBLightRanges,47,0.079783
JOBLightRanges,48,0.093578
JOBLightRanges,49,0.046676
JOBLightRanges,50,0.058015
JOBLightRanges,51,0.073573
JOBLightRanges,52,0.053788
JOBLightRanges,53,0.062428
JOBLightRanges,54,0.073031
JOBLightRanges,55,0.071758
JOBLightRanges,56,0.066968
JOBLightRanges,57,0.060483
JOBLightRanges,58,0.062342
JOBLightRanges,59,0.067078
JOBLightRanges,60,0.057080
JOBLightRanges,61,0.072542
JOBLightRanges,62,0.074296
JOBLightRanges,63,0.070271
JOBLightRanges,64,0.060634
JOBLightRanges,65,0.083383
JOBLightRanges,66,0.074122
JOBLightRanges,67,0.088420
JOBLightRanges,68,0.070261
JOBLightRanges,69,0.059569
JOBLightRanges,70,0.091424
JOBLightRanges,71,0.098546
JOBLightRanges,72,0.060870
JOBLightRanges,73,0.074214
JOBLightRanges,74,0.072012
JOBLightRanges,75,0.073195
JOBLightRanges,76,0.052644
JOBLightRanges,77,0.071899
JOBLightRanges,78,0.093225
JOBLightRanges,79,0.059719
JOBLightRanges,80,0.089848
JOBLightRanges,81,0.059496
JOBLightRanges,82,0.056868
JOBLightRanges,83,0.070167
JOBLightRanges,84,0.061293
JOBLightRanges,85,0.056616
JOBLightRanges,86,0.066229
JOBLightRanges,87,0.066225
JOBLightRanges,88,0.064189
JOBLightRanges,89,0.084496
JOBLightRanges,90,0.061092
JOBLightRanges,91,0.056033
JOBLightRanges,92,0.091169
JOBLightRanges,93,0.071141
JOBLightRanges,94,0.076239
JOBLightRanges,95,0.089844
JOBLightRanges,96,0.066089
JOBLightRanges,97,0.065628
JOBLightRanges,98,0.093723
JOBLightRanges,99,0.049304
JOBLightRanges,100,0.057744
JOBLightRanges,101,0.067959
JOBLightRanges,102,0.066300
JOBLightRanges,103,0.098006
JOBLightRanges,104,0.063736
JOBLightRanges,105,0.055437
JOBLightRanges,106,0.097495
JOBLightRanges,107,0.058190
JOBLightRanges,108,0.068928
JOBLightRanges,109,0.081674
JOBLightRanges,110,0.073968
JOBLightRanges,111,0.086143
JOBLightRanges,112,0.070464
JOBLightRanges,113,0.118488
JOBLightRanges,114,0.058009
JOBLightRanges,115,0.073104
JOBLightRanges,116,0.061025
JOBLightRanges,117,0.093809
JOBLightRanges,118,0.127410
JOBLightRanges,119,0.036278
JOBLightRanges,120,0.063016
JOBLightRanges,121,0.073286
JOBLightRanges,122,0.073016
JOBLightRanges,123,0.136698
JOBLightRanges,124,0.064276
JOBLightRanges,125,0.082781
JOBLightRanges,126,0.060246
JOBLightRanges,127,0.062947
JOBLightRanges,128,0.066856
JOBLightRanges,129,0.171659
JOBLightRanges,130,0.034061
JOBLightRanges,131,0.143396
JOBLightRanges,132,0.060228
JOBLightRanges,133,0.106059
JOBLightRanges,134,0.123150
JOBLightRanges,135,0.101328
JOBLightRanges,136,0.090041
JOBLightRanges,137,0.052415
JOBLightRanges,138,0.786507
