benchmark,query_idx,running_time_sec
JOBM,0,0.876878
JOBM,1,0.864284
JOBM,2,0.954862
JOBM,3,0.180026
JOBM,4,0.222056
JOBM,5,0.206393
JOBM,6,0.203280
JOBM,7,0.721363
JOBM,8,3.283102
JOBM,9,0.776888
JOBM,10,0.213592
JOBM,11,0.334779
JOBM,12,0.337027
JOBM,13,0.260370
JOBM,14,0.651765
JOBM,15,0.622645
JOBM,16,0.908721
JOBM,17,0.778535
JOBM,18,0.760807
JOBM,19,0.799992
JOBM,20,0.339867
JOBM,21,0.679003
JOBM,22,2.221944
JOBM,23,2.119966
JOBM,24,2.120016
JOBM,25,2.220698
JOBM,26,4.755136
JOBM,27,4.789442
JOBM,28,4.766479
JOBM,29,2.257394
JOBM,30,4.781215
JOBM,31,1.314561
JOBM,32,1.487723
JOBM,33,1.541641
JOBM,34,1.626876
JOBM,35,0.625576
JOBM,36,1.850965
JOBM,37,0.899883
JOBM,38,0.112569
JOBM,39,0.116251
JOBM,40,0.110505
JOBM,41,0.121976
JOBM,42,0.389905
JOBM,43,0.360487
JOBM,44,0.352979
JOBM,45,0.814441
JOBM,46,0.686779
JOBM,47,0.932795
JOBM,48,0.883828
JOBM,49,0.887357
JOBM,50,0.996899
JOBM,51,0.982454
JOBM,52,0.774975
JOBM,53,0.704627
JOBM,54,0.779989
JOBM,55,1.441042
JOBM,56,0.942347
JOBM,57,1.355126
JOBM,58,0.942797
JOBM,59,1.614074
JOBM,60,0.416957
JOBM,61,0.353892
JOBM,62,0.360447
JOBM,63,0.709515
JOBM,64,0.748394
JOBM,65,0.940624
JOBM,66,1.022894
JOBM,67,0.836645
JOBM,68,1.002702
JOBM,69,1.494399
JOBM,70,1.310722
JOBM,71,1.464479
JOBM,72,0.157718
JOBM,73,0.149430
JOBM,74,0.207887
JOBM,75,0.244364
JOBM,76,1.388175
JOBM,77,1.393398
JOBM,78,1.618875
JOBM,79,1.472228
JOBM,80,1.368559
JOBM,81,1.627241
JOBM,82,0.099396
JOBM,83,0.098657
JOBM,84,0.112728
JOBM,85,0.114565
JOBM,86,0.102615
JOBM,87,0.795058
JOBM,88,0.599216
JOBM,89,0.843306
JOBM,90,0.164692
JOBM,91,0.169214
JOBM,92,0.179420
JOBM,93,0.108172
JOBM,94,0.119029
JOBM,95,0.824225
JOBM,96,0.368790
JOBM,97,0.330219
JOBM,98,0.304203
JOBM,99,0.574336
JOBM,100,0.408565
JOBM,101,0.571436
JOBM,102,0.484683
JOBM,103,0.420784
JOBM,104,0.905793
JOBM,105,0.596774
JOBM,106,0.598145
JOBM,107,2.713501
JOBM,108,2.702981
JOBM,109,0.825469
JOBM,110,0.625855
JOBM,111,0.751972
JOBM,112,0.740544
