benchmark,query_idx,running_time_sec
STATS,0,0.022858
STATS,1,0.049818
STATS,2,0.031283
STATS,3,0.031960
STATS,4,0.058489
STATS,5,0.025522
STATS,6,0.028886
STATS,7,0.027112
STATS,8,0.035942
STATS,9,0.031983
STATS,10,0.029313
STATS,11,0.032730
STATS,12,0.030293
STATS,13,0.025157
STATS,14,0.056982
STATS,15,0.028121
STATS,16,0.026643
STATS,17,0.027227
STATS,18,0.023267
STATS,19,0.027070
STATS,20,0.025871
STATS,21,0.033818
STATS,22,0.026281
STATS,23,0.024763
STATS,24,0.038065
STATS,25,0.033260
STATS,26,0.032035
STATS,27,0.069465
STATS,28,0.032166
STATS,29,0.522886
STATS,30,0.051591
STATS,31,0.086067
STATS,32,0.029922
STATS,33,1.114635
STATS,34,0.034574
STATS,35,0.026698
STATS,36,0.043617
STATS,37,0.247339
STATS,38,0.040659
STATS,39,0.028342
STATS,40,0.024683
STATS,41,0.037614
STATS,42,0.050949
STATS,43,0.043699
STATS,44,0.027767
STATS,45,0.041861
STATS,46,0.246875
STATS,47,0.031388
STATS,48,0.079829
STATS,49,0.028966
STATS,50,0.301850
STATS,51,0.705173
STATS,52,0.034556
STATS,53,0.025813
STATS,54,0.026852
STATS,55,0.054390
STATS,56,0.026239
STATS,57,30.718790
STATS,58,0.289165
STATS,59,0.099307
STATS,60,0.053066
STATS,61,0.030957
STATS,62,0.034600
STATS,63,0.042890
STATS,64,0.035316
STATS,65,0.037651
STATS,66,0.033654
STATS,67,4.016035
STATS,68,0.388417
STATS,69,0.378064
STATS,70,0.351743
STATS,71,0.044371
STATS,72,0.052927
STATS,73,0.185989
STATS,74,0.070829
STATS,75,0.050192
STATS,76,0.068658
STATS,77,0.045803
STATS,78,0.061926
STATS,79,0.033568
STATS,80,0.029553
STATS,81,0.035497
STATS,82,0.036366
STATS,83,0.058597
STATS,84,0.057784
STATS,85,0.032039
STATS,86,0.029031
STATS,87,0.055505
STATS,88,0.032135
STATS,89,0.029421
STATS,90,0.044835
STATS,91,0.026703
STATS,92,0.032686
STATS,93,0.028864
STATS,94,0.068393
STATS,95,0.060469
STATS,96,0.158887
STATS,97,0.127863
STATS,98,0.039896
STATS,99,0.034670
STATS,100,0.040540
STATS,101,0.041512
STATS,102,0.039179
STATS,103,0.062904
STATS,104,0.450145
STATS,105,0.037184
STATS,106,1.503733
STATS,107,1.089725
STATS,108,0.045418
STATS,109,0.048000
STATS,110,0.049213
STATS,111,0.045214
STATS,112,0.084815
STATS,113,0.078273
STATS,114,0.151597
STATS,115,0.033677
STATS,116,0.034433
STATS,117,0.038332
STATS,118,0.037868
STATS,119,27.698210
STATS,120,0.038005
STATS,121,23.429205
STATS,122,0.401456
STATS,123,0.053900
STATS,124,0.030317
STATS,125,6.670477
STATS,126,0.041253
STATS,127,0.042774
STATS,128,0.045822
STATS,129,0.033375
STATS,130,0.056398
STATS,131,0.038006
STATS,132,0.097630
STATS,133,0.033243
STATS,134,4.978123
STATS,135,0.742725
STATS,136,0.033482
STATS,137,0.056749
STATS,138,0.108204
STATS,139,0.567592
STATS,140,1.417378
STATS,141,1.334465
STATS,142,0.687975
STATS,143,0.115227
STATS,144,0.042851
STATS,145,0.054665
