benchmark,query_idx,running_time_sec
JOBLight,0,0.032402
JOBLight,1,0.033101
JOBLight,2,0.034466
JOBLight,3,0.036134
JOBLight,4,0.080163
JOBLight,5,0.511559
JOBLight,6,0.222045
JOBLight,7,0.986997
JOBLight,8,0.096359
JOBLight,9,0.080655
JOBLight,10,0.111489
JOBLight,11,0.255221
JOBLight,12,0.192360
JOBLight,13,0.374285
JOBLight,14,0.288302
JOBLight,15,0.380428
JOBLight,16,0.236480
JOBLight,17,0.291700
JOBLight,18,1.329892
JOBLight,19,0.379847
JOBLight,20,0.376149
JOBLight,21,0.782994
JOBLight,22,0.524898
JOBLight,23,0.391306
JOBLight,24,0.092161
JOBLight,25,0.262277
JOBLight,26,0.163639
JOBLight,27,0.358564
JOBLight,28,0.227847
JOBLight,29,1.195148
JOBLight,30,0.067672
JOBLight,31,0.065156
JOBLight,32,0.364084
JOBLight,33,0.085554
JOBLight,34,0.042030
JOBLight,35,0.103374
JOBLight,36,0.106799
JOBLight,37,0.070592
JOBLight,38,0.108194
JOBLight,39,0.116854
JOBLight,40,1.796379
JOBLight,41,0.711164
JOBLight,42,2.201921
JOBLight,43,0.428870
JOBLight,44,0.475192
JOBLight,45,0.409720
JOBLight,46,0.638726
JOBLight,47,0.394080
JOBLight,48,1.049783
JOBLight,49,0.776017
JOBLight,50,1.335593
JOBLight,51,0.798159
JOBLight,52,0.181465
JOBLight,53,0.171369
JOBLight,54,0.181481
JOBLight,55,0.235228
JOBLight,56,0.217232
JOBLight,57,3.935344
JOBLight,58,0.206013
JOBLight,59,23.948993
JOBLight,60,3.043568
JOBLight,61,1.635177
JOBLight,62,0.716701
JOBLight,63,0.572736
JOBLight,64,0.159703
JOBLight,65,0.384340
JOBLight,66,0.329857
JOBLight,67,0.381189
JOBLight,68,0.369808
JOBLight,69,2.280562
