benchmark,query_idx,running_time_sec
JOBLightRanges,0,0.060184
JOBLightRanges,1,0.059216
JOBLightRanges,2,0.087807
JOBLightRanges,3,0.077223
JOBLightRanges,4,0.064552
JOBLightRanges,5,0.074564
JOBLightRanges,6,0.074822
JOBLightRanges,7,0.058319
JOBLightRanges,8,0.060730
JOBLightRanges,9,0.070856
JOBLightRanges,10,0.058793
JOBLightRanges,11,0.076395
JOBLightRanges,12,0.046446
JOBLightRanges,13,0.079108
JOBLightRanges,14,0.073677
JOBLightRanges,15,0.063482
JOBLightRanges,16,0.072431
JOBLightRanges,17,0.061027
JOBLightRanges,18,0.064005
JOBLightRanges,19,0.077340
JOBLightRanges,20,0.063664
JOBLightRanges,21,0.060008
JOBLightRanges,22,0.059672
JOBLightRanges,23,0.060896
JOBLightRanges,24,0.070827
JOBLightRanges,25,0.067644
JOBLightRanges,26,0.055094
JOBLightRanges,27,0.050075
JOBLightRanges,28,0.061163
JOBLightRanges,29,0.077224
JOBLightRanges,30,0.070603
JOBLightRanges,31,0.057850
JOBLightRanges,32,0.062184
JOBLightRanges,33,0.092416
JOBLightRanges,34,0.060894
JOBLightRanges,35,0.074798
JOBLightRanges,36,0.074961
JOBLightRanges,37,0.080542
JOBLightRanges,38,0.074710
JOBLightRanges,39,0.067437
JOBLightRanges,40,0.069899
JOBLightRanges,41,0.056519
JOBLightRanges,42,0.058660
JOBLightRanges,43,0.068258
JOBLightRanges,44,0.111763
JOBLightRanges,45,0.061735
JOBLightRanges,46,0.051182
JOBLightRanges,47,0.080333
JOBLightRanges,48,0.083122
JOBLightRanges,49,0.045292
JOBLightRanges,50,0.058390
JOBLightRanges,51,0.072497
JOBLightRanges,52,0.050315
JOBLightRanges,53,0.060712
JOBLightRanges,54,0.069398
JOBLightRanges,55,0.071878
JOBLightRanges,56,0.068448
JOBLightRanges,57,0.064524
JOBLightRanges,58,0.062347
JOBLightRanges,59,0.069776
JOBLightRanges,60,0.058778
JOBLightRanges,61,0.075026
JOBLightRanges,62,0.076579
JOBLightRanges,63,0.068466
JOBLightRanges,64,0.061286
JOBLightRanges,65,0.092973
JOBLightRanges,66,0.073945
JOBLightRanges,67,0.087342
JOBLightRanges,68,0.067707
JOBLightRanges,69,0.059522
JOBLightRanges,70,0.093469
JOBLightRanges,71,0.097190
JOBLightRanges,72,0.065613
JOBLightRanges,73,0.071694
JOBLightRanges,74,0.069966
JOBLightRanges,75,0.073178
JOBLightRanges,76,0.064534
JOBLightRanges,77,0.073514
JOBLightRanges,78,0.091621
JOBLightRanges,79,0.059119
JOBLightRanges,80,0.088472
JOBLightRanges,81,0.058093
JOBLightRanges,82,0.053555
JOBLightRanges,83,0.067661
JOBLightRanges,84,0.063356
JOBLightRanges,85,0.057120
JOBLightRanges,86,0.067631
JOBLightRanges,87,0.067900
JOBLightRanges,88,0.063888
JOBLightRanges,89,0.083192
JOBLightRanges,90,0.063203
JOBLightRanges,91,0.056277
JOBLightRanges,92,0.093336
JOBLightRanges,93,0.071753
JOBLightRanges,94,0.073066
JOBLightRanges,95,0.091708
JOBLightRanges,96,0.062890
JOBLightRanges,97,0.062428
JOBLightRanges,98,0.094681
JOBLightRanges,99,0.059325
JOBLightRanges,100,0.063248
JOBLightRanges,101,0.066362
JOBLightRanges,102,0.066871
JOBLightRanges,103,0.095960
JOBLightRanges,104,0.063209
JOBLightRanges,105,0.052831
JOBLightRanges,106,0.096035
JOBLightRanges,107,0.057487
JOBLightRanges,108,0.071261
JOBLightRanges,109,0.081638
JOBLightRanges,110,0.075623
JOBLightRanges,111,0.085463
JOBLightRanges,112,0.069571
JOBLightRanges,113,0.120857
JOBLightRanges,114,0.055934
JOBLightRanges,115,0.070509
JOBLightRanges,116,0.061998
JOBLightRanges,117,0.096883
JOBLightRanges,118,0.131335
JOBLightRanges,119,0.036983
JOBLightRanges,120,0.063420
JOBLightRanges,121,0.071011
JOBLightRanges,122,0.072587
JOBLightRanges,123,0.137771
JOBLightRanges,124,0.062683
JOBLightRanges,125,0.081309
JOBLightRanges,126,0.058017
JOBLightRanges,127,0.063466
JOBLightRanges,128,0.069139
JOBLightRanges,129,0.173166
JOBLightRanges,130,0.035516
JOBLightRanges,131,0.141131
JOBLightRanges,132,0.059742
JOBLightRanges,133,0.102567
JOBLightRanges,134,0.123605
JOBLightRanges,135,0.100954
JOBLightRanges,136,0.088837
JOBLightRanges,137,0.056218
JOBLightRanges,138,0.871323
JOBLightRanges,139,0.062566
JOBLightRanges,140,0.090004
JOBLightRanges,141,0.116976
JOBLightRanges,142,0.076996
JOBLightRanges,143,0.067189
JOBLightRanges,144,0.055324
JOBLightRanges,145,0.070607
JOBLightRanges,146,0.056972
JOBLightRanges,147,0.098789
JOBLightRanges,148,0.066806
JOBLightRanges,149,0.057001
JOBLightRanges,150,0.099424
JOBLightRanges,151,0.090220
JOBLightRanges,152,0.064785
JOBLightRanges,153,0.068682
JOBLightRanges,154,0.064346
JOBLightRanges,155,0.056067
JOBLightRanges,156,0.066813
JOBLightRanges,157,0.118431
