benchmark,query_idx,running_time_sec
JOBM,0,0.880960
JOBM,1,0.858820
JOBM,2,0.957392
JOBM,3,0.170381
JOBM,4,0.179021
JOBM,5,0.111400
JOBM,6,0.117534
JOBM,7,0.706656
JOBM,8,0.465353
JOBM,9,0.754783
JOBM,10,0.210245
JOBM,11,0.299889
JOBM,12,0.303187
JOBM,13,0.253503
JOBM,14,0.633627
JOBM,15,0.619176
JOBM,16,0.867703
JOBM,17,0.792592
JOBM,18,0.734195
JOBM,19,0.823364
JOBM,20,0.373024
JOBM,21,0.356923
JOBM,22,0.474941
JOBM,23,0.392746
JOBM,24,0.405815
JOBM,25,0.479648
JOBM,26,0.506365
JOBM,27,0.506358
JOBM,28,0.501043
JOBM,29,0.480208
JOBM,30,0.502485
JOBM,31,1.514920
JOBM,32,1.450048
JOBM,33,1.527947
JOBM,34,1.757424
JOBM,35,0.641691
JOBM,36,1.748451
JOBM,37,1.268660
JOBM,38,0.110646
JOBM,39,0.109861
JOBM,40,0.119198
JOBM,41,0.113950
JOBM,42,0.375412
JOBM,43,0.368150
JOBM,44,0.354221
JOBM,45,0.868336
JOBM,46,0.229950
JOBM,47,0.859897
JOBM,48,0.849603
JOBM,49,0.837840
JOBM,50,0.984741
JOBM,51,0.948143
JOBM,52,0.774193
JOBM,53,0.703479
JOBM,54,0.942390
JOBM,55,1.344317
JOBM,56,1.130579
JOBM,57,1.338312
JOBM,58,0.927806
JOBM,59,1.571644
JOBM,60,0.379523
JOBM,61,0.348933
JOBM,62,0.369299
JOBM,63,0.246649
JOBM,64,0.246555
JOBM,65,0.887917
JOBM,66,1.015151
JOBM,67,0.830823
JOBM,68,1.016736
JOBM,69,0.402688
JOBM,70,0.828057
JOBM,71,1.114979
JOBM,72,0.151080
JOBM,73,0.148875
JOBM,74,0.110172
JOBM,75,0.156376
JOBM,76,1.419668
JOBM,77,1.409203
JOBM,78,1.609377
JOBM,79,1.455063
JOBM,80,1.407295
JOBM,81,1.582785
JOBM,82,0.096734
JOBM,83,0.108177
JOBM,84,0.100056
JOBM,85,0.103099
JOBM,86,0.109139
JOBM,87,0.831105
JOBM,88,0.618775
JOBM,89,0.850847
JOBM,90,0.166283
JOBM,91,0.164702
JOBM,92,0.171997
JOBM,93,0.187560
JOBM,94,0.109091
JOBM,95,0.837042
JOBM,96,0.360019
JOBM,97,0.323252
JOBM,98,0.299244
JOBM,99,0.523659
JOBM,100,0.362632
JOBM,101,0.525936
JOBM,102,0.479542
JOBM,103,0.430242
JOBM,104,0.900527
JOBM,105,0.558239
JOBM,106,0.562439
JOBM,107,1.082566
JOBM,108,1.080848
JOBM,109,0.752047
JOBM,110,0.611374
JOBM,111,0.750213
JOBM,112,0.742682
