benchmark,query_idx,running_time_sec
STATS,0,0.023028
STATS,1,0.049361
STATS,2,0.030677
STATS,3,0.031808
STATS,4,0.057954
STATS,5,0.026368
STATS,6,0.028178
STATS,7,0.026705
STATS,8,0.036279
STATS,9,0.029264
STATS,10,0.029059
STATS,11,0.032033
STATS,12,0.028201
STATS,13,0.025487
STATS,14,0.056030
STATS,15,0.029798
STATS,16,0.024791
STATS,17,0.027445
STATS,18,0.023807
STATS,19,0.026973
STATS,20,0.028022
STATS,21,0.033601
STATS,22,0.027161
STATS,23,0.022391
STATS,24,0.032263
STATS,25,0.025653
STATS,26,0.028467
STATS,27,0.079324
STATS,28,0.032559
STATS,29,0.524909
STATS,30,0.054522
STATS,31,0.086525
STATS,32,0.026837
STATS,33,1.619602
STATS,34,0.035208
STATS,35,0.026979
STATS,36,0.047718
STATS,37,0.246360
STATS,38,0.041378
STATS,39,0.026464
STATS,40,0.025000
STATS,41,0.038327
STATS,42,0.057778
STATS,43,0.038951
STATS,44,0.028570
STATS,45,0.039111
STATS,46,0.172930
STATS,47,0.029161
STATS,48,0.093490
STATS,49,0.030309
STATS,50,0.297254
STATS,51,0.821765
STATS,52,0.032601
STATS,53,0.026772
STATS,54,0.025902
STATS,55,0.087996
STATS,56,0.026250
STATS,57,37.169061
STATS,58,0.237448
STATS,59,0.087221
STATS,60,0.038989
STATS,61,0.031720
STATS,62,0.032769
STATS,63,0.036293
STATS,64,0.032916
STATS,65,0.036636
STATS,66,0.032067
STATS,67,5.416709
STATS,68,0.490210
STATS,69,0.311166
STATS,70,0.396113
STATS,71,0.094040
STATS,72,0.041068
STATS,73,0.221857
STATS,74,0.083185
STATS,75,0.052980
STATS,76,0.066785
STATS,77,0.034527
STATS,78,0.064891
STATS,79,0.032899
STATS,80,0.027896
STATS,81,0.035309
STATS,82,0.037407
STATS,83,0.057852
STATS,84,0.060776
STATS,85,0.032707
STATS,86,0.030658
STATS,87,0.059159
STATS,88,0.032602
STATS,89,0.029737
STATS,90,0.043138
STATS,91,0.027064
STATS,92,0.035106
STATS,93,0.030765
STATS,94,0.065918
STATS,95,0.057740
STATS,96,0.155554
STATS,97,0.140649
STATS,98,0.037702
STATS,99,0.032495
STATS,100,0.038857
STATS,101,0.039808
STATS,102,0.040255
STATS,103,0.068242
STATS,104,0.592825
STATS,105,0.036931
STATS,106,1.487959
STATS,107,1.619142
STATS,108,0.046881
STATS,109,0.046866
STATS,110,0.051535
STATS,111,0.049702
STATS,112,0.083057
STATS,113,0.090816
STATS,114,0.148150
STATS,115,0.041295
STATS,116,0.036966
STATS,117,0.038280
STATS,118,0.037508
STATS,119,30.679162
STATS,120,0.039044
STATS,121,22.980937
STATS,122,0.376634
STATS,123,0.058372
STATS,124,0.032201
STATS,125,8.410376
STATS,126,0.036076
STATS,127,0.040406
STATS,128,0.045775
STATS,129,0.031569
STATS,130,0.044140
STATS,131,0.037601
STATS,132,0.079446
STATS,133,0.039085
STATS,134,5.016784
STATS,135,0.758804
STATS,136,0.031773
STATS,137,0.089143
STATS,138,0.043537
STATS,139,0.361334
STATS,140,1.282555
STATS,141,0.921455
STATS,142,0.494662
STATS,143,0.169671
STATS,144,0.042381
STATS,145,0.052113
