benchmark,query_idx,running_time_sec
JOBLight,0,0.034065
JOBLight,1,0.034558
JOBLight,2,0.033647
JOBLight,3,0.033564
JOBLight,4,0.079762
JOBLight,5,0.518373
JOBLight,6,0.226380
JOBLight,7,0.957690
JOBLight,8,0.093325
JOBLight,9,0.078542
JOBLight,10,0.110952
JOBLight,11,0.256989
JOBLight,12,0.192281
JOBLight,13,0.380991
JOBLight,14,0.288691
JOBLight,15,0.278250
JOBLight,16,0.236582
JOBLight,17,0.286360
JOBLight,18,1.315752
JOBLight,19,0.381824
JOBLight,20,0.379099
JOBLight,21,0.779901
JOBLight,22,0.527397
JOBLight,23,0.376698
JOBLight,24,0.095782
JOBLight,25,0.258110
JOBLight,26,0.158862
JOBLight,27,0.363960
JOBLight,28,0.229324
JOBLight,29,1.199672
JOBLight,30,0.067848
JOBLight,31,0.066114
JOBLight,32,0.367767
JOBLight,33,0.085715
JOBLight,34,0.038320
JOBLight,35,0.115604
JOBLight,36,0.109113
JOBLight,37,0.067553
JOBLight,38,0.106057
JOBLight,39,0.117468
JOBLight,40,1.493700
JOBLight,41,0.737231
JOBLight,42,1.784288
JOBLight,43,0.425440
JOBLight,44,0.460824
JOBLight,45,0.407706
JOBLight,46,0.637205
JOBLight,47,0.439564
JOBLight,48,1.052219
JOBLight,49,0.799492
JOBLight,50,1.320722
JOBLight,51,0.779820
JOBLight,52,0.179947
JOBLight,53,0.170796
JOBLight,54,0.178976
JOBLight,55,0.154351
JOBLight,56,0.139312
JOBLight,57,3.304513
JOBLight,58,0.136476
JOBLight,59,27.722299
JOBLight,60,3.891572
JOBLight,61,0.588871
JOBLight,62,0.715023
JOBLight,63,0.576696
JOBLight,64,0.161903
JOBLight,65,0.245445
JOBLight,66,0.186236
JOBLight,67,0.157067
JOBLight,68,0.147501
JOBLight,69,2.080128
