benchmark,query_idx,running_time_sec
JOBLightRanges,0,0.056980
JOBLightRanges,1,0.054649
JOBLightRanges,2,0.081070
JOBLightRanges,3,0.072914
JOBLightRanges,4,0.061131
JOBLightRanges,5,0.067147
JOBLightRanges,6,0.069484
JOBLightRanges,7,0.052688
JOBLightRanges,8,0.055384
JOBLightRanges,9,0.066640
JOBLightRanges,10,0.051358
JOBLightRanges,11,0.069080
JOBLightRanges,12,0.043383
JOBLightRanges,13,0.075349
JOBLightRanges,14,0.066960
JOBLightRanges,15,0.057342
JOBLightRanges,16,0.067064
JOBLightRanges,17,0.055259
JOBLightRanges,18,0.056636
JOBLightRanges,19,0.074349
JOBLightRanges,20,0.061337
JOBLightRanges,21,0.054490
JOBLightRanges,22,0.057233
JOBLightRanges,23,0.058463
JOBLightRanges,24,0.067961
JOBLightRanges,25,0.061915
JOBLightRanges,26,0.048126
JOBLightRanges,27,0.047935
JOBLightRanges,28,0.055454
JOBLightRanges,29,0.071725
JOBLightRanges,30,0.068297
JOBLightRanges,31,0.054949
JOBLightRanges,32,0.054838
JOBLightRanges,33,0.086605
JOBLightRanges,34,0.059391
JOBLightRanges,35,0.071274
JOBLightRanges,36,0.070451
JOBLightRanges,37,0.075083
JOBLightRanges,38,0.079708
JOBLightRanges,39,0.065822
JOBLightRanges,40,0.065250
JOBLightRanges,41,0.055273
JOBLightRanges,42,0.057034
JOBLightRanges,43,0.063364
JOBLightRanges,44,0.107648
JOBLightRanges,45,0.055872
JOBLightRanges,46,0.044762
JOBLightRanges,47,0.073406
JOBLightRanges,48,0.079806
JOBLightRanges,49,0.041025
JOBLightRanges,50,0.053735
JOBLightRanges,51,0.069138
JOBLightRanges,52,0.048851
JOBLightRanges,53,0.055984
JOBLightRanges,54,0.066395
JOBLightRanges,55,0.068700
JOBLightRanges,56,0.064224
JOBLightRanges,57,0.055027
JOBLightRanges,58,0.058690
JOBLightRanges,59,0.065642
JOBLightRanges,60,0.054390
JOBLightRanges,61,0.068371
JOBLightRanges,62,0.070137
JOBLightRanges,63,0.064260
JOBLightRanges,64,0.054951
JOBLightRanges,65,0.080113
JOBLightRanges,66,0.068357
JOBLightRanges,67,0.085151
JOBLightRanges,68,0.064950
JOBLightRanges,69,0.052371
JOBLightRanges,70,0.086813
JOBLightRanges,71,0.091341
JOBLightRanges,72,0.059613
JOBLightRanges,73,0.066253
JOBLightRanges,74,0.064579
JOBLightRanges,75,0.071063
JOBLightRanges,76,0.052240
JOBLightRanges,77,0.068492
JOBLightRanges,78,0.088590
JOBLightRanges,79,0.054644
JOBLightRanges,80,0.083205
JOBLightRanges,81,0.053877
JOBLightRanges,82,0.050891
JOBLightRanges,83,0.065030
JOBLightRanges,84,0.053418
JOBLightRanges,85,0.051162
JOBLightRanges,86,0.055823
JOBLightRanges,87,0.063897
JOBLightRanges,88,0.058819
JOBLightRanges,89,0.079326
JOBLightRanges,90,0.059423
JOBLightRanges,91,0.050121
JOBLightRanges,92,0.085837
JOBLightRanges,93,0.068370
JOBLightRanges,94,0.071772
JOBLightRanges,95,0.086779
JOBLightRanges,96,0.058087
JOBLightRanges,97,0.058324
JOBLightRanges,98,0.089895
JOBLightRanges,99,0.045944
JOBLightRanges,100,0.054962
JOBLightRanges,101,0.061902
JOBLightRanges,102,0.061385
JOBLightRanges,103,0.091679
JOBLightRanges,104,0.059979
JOBLightRanges,105,0.050868
JOBLightRanges,106,0.096317
JOBLightRanges,107,0.050766
JOBLightRanges,108,0.061687
JOBLightRanges,109,0.078599
JOBLightRanges,110,0.070381
JOBLightRanges,111,0.083304
JOBLightRanges,112,0.064092
JOBLightRanges,113,0.113210
JOBLightRanges,114,0.053164
JOBLightRanges,115,0.065702
JOBLightRanges,116,0.058872
JOBLightRanges,117,0.092291
JOBLightRanges,118,0.126160
JOBLightRanges,119,0.031883
JOBLightRanges,120,0.059112
JOBLightRanges,121,0.068785
JOBLightRanges,122,0.069396
JOBLightRanges,123,0.135702
JOBLightRanges,124,0.059452
JOBLightRanges,125,0.079345
JOBLightRanges,126,0.056025
JOBLightRanges,127,0.059542
JOBLightRanges,128,0.062498
JOBLightRanges,129,0.165605
JOBLightRanges,130,0.029843
JOBLightRanges,131,0.136231
JOBLightRanges,132,0.055979
JOBLightRanges,133,0.098411
JOBLightRanges,134,0.121827
JOBLightRanges,135,0.100850
JOBLightRanges,136,0.083111
JOBLightRanges,137,0.049695
JOBLightRanges,138,0.853228
JOBLightRanges,139,0.057907
JOBLightRanges,140,0.087182
JOBLightRanges,141,0.112331
JOBLightRanges,142,0.073953
JOBLightRanges,143,0.060001
JOBLightRanges,144,0.047479
JOBLightRanges,145,0.066265
JOBLightRanges,146,0.047352
JOBLightRanges,147,0.093086
JOBLightRanges,148,0.063167
JOBLightRanges,149,0.049845
JOBLightRanges,150,0.092465
JOBLightRanges,151,0.080042
JOBLightRanges,152,0.059155
JOBLightRanges,153,0.063688
JOBLightRanges,154,0.060077
JOBLightRanges,155,0.052161
JOBLightRanges,156,0.061570
JOBLightRanges,157,0.111777
JOBLightRanges,158,0.046607
JOBLightRanges,159,0.053374
JOBLightRanges,160,0.115098
JOBLightRanges,161,0.065128
JOBLightRanges,162,0.091899
JOBLightRanges,163,0.055689
JOBLightRanges,164,0.063602
JOBLightRanges,165,0.053798
JOBLightRanges,166,0.041361
JOBLightRanges,167,0.068901
JOBLightRanges,168,0.061290
JOBLightRanges,169,0.055014
JOBLightRanges,170,0.077758
JOBLightRanges,171,0.069844
JOBLightRanges,172,0.100840
JOBLightRanges,173,0.064638
JOBLightRanges,174,0.056801
JOBLightRanges,175,0.057213
JOBLightRanges,176,0.080520
JOBLightRanges,177,0.057282
JOBLightRanges,178,0.052803
JOBLightRanges,179,0.078602
JOBLightRanges,180,0.065471
JOBLightRanges,181,0.077471
JOBLightRanges,182,0.057453
JOBLightRanges,183,0.034479
JOBLightRanges,184,0.058032
JOBLightRanges,185,0.046960
JOBLightRanges,186,0.046647
JOBLightRanges,187,0.059310
JOBLightRanges,188,0.070514
JOBLightRanges,189,0.069330
JOBLightRanges,190,0.079059
JOBLightRanges,191,0.064152
JOBLightRanges,192,0.097816
JOBLightRanges,193,0.048573
JOBLightRanges,194,0.046136
JOBLightRanges,195,0.051548
JOBLightRanges,196,0.048211
JOBLightRanges,197,0.049787
JOBLightRanges,198,0.054963
JOBLightRanges,199,0.066952
JOBLightRanges,200,0.079173
JOBLightRanges,201,0.062352
JOBLightRanges,202,0.067616
JOBLightRanges,203,0.053998
JOBLightRanges,204,0.056169
JOBLightRanges,205,0.073706
JOBLightRanges,206,0.075234
JOBLightRanges,207,0.084174
JOBLightRanges,208,0.042255
JOBLightRanges,209,0.063003
JOBLightRanges,210,0.065099
JOBLightRanges,211,0.074158
JOBLightRanges,212,0.065097
JOBLightRanges,213,0.061250
JOBLightRanges,214,0.050771
JOBLightRanges,215,0.059383
JOBLightRanges,216,0.080344
JOBLightRanges,217,0.065032
JOBLightRanges,218,0.072444
JOBLightRanges,219,0.054529
JOBLightRanges,220,0.086631
JOBLightRanges,221,0.136295
JOBLightRanges,222,0.065107
JOBLightRanges,223,0.091945
JOBLightRanges,224,0.075569
JOBLightRanges,225,0.093493
JOBLightRanges,226,0.049630
JOBLightRanges,227,0.047539
JOBLightRanges,228,0.089197
JOBLightRanges,229,0.064688
JOBLightRanges,230,0.075411
JOBLightRanges,231,0.182874
JOBLightRanges,232,0.066434
JOBLightRanges,233,0.071056
JOBLightRanges,234,0.068404
JOBLightRanges,235,0.054863
JOBLightRanges,236,0.072789
JOBLightRanges,237,0.052172
JOBLightRanges,238,0.248837
JOBLightRanges,239,0.058733
JOBLightRanges,240,0.057034
JOBLightRanges,241,0.068358
JOBLightRanges,242,0.070768
JOBLightRanges,243,0.069988
JOBLightRanges,244,0.226316
JOBLightRanges,245,0.065801
JOBLightRanges,246,0.243958
JOBLightRanges,247,0.056223
JOBLightRanges,248,0.084847
JOBLightRanges,249,0.084218
JOBLightRanges,250,0.146450
JOBLightRanges,251,0.168922
JOBLightRanges,252,0.064348
JOBLightRanges,253,0.106002
JOBLightRanges,254,0.227165
JOBLightRanges,255,0.051044
JOBLightRanges,256,0.064668
JOBLightRanges,257,0.075453
JOBLightRanges,258,0.071980
JOBLightRanges,259,0.062673
JOBLightRanges,260,0.101537
JOBLightRanges,261,0.133585
JOBLightRanges,262,0.089703
JOBLightRanges,263,0.159739
JOBLightRanges,264,0.061262
JOBLightRanges,265,0.067113
JOBLightRanges,266,0.074805
JOBLightRanges,267,0.060866
JOBLightRanges,268,0.052643
JOBLightRanges,269,0.047500
JOBLightRanges,270,0.064535
JOBLightRanges,271,0.219164
JOBLightRanges,272,0.078295
JOBLightRanges,273,0.080274
JOBLightRanges,274,0.166855
JOBLightRanges,275,0.258565
JOBLightRanges,276,0.148421
JOBLightRanges,277,0.238640
JOBLightRanges,278,0.074980
JOBLightRanges,279,0.131209
JOBLightRanges,280,0.264187
JOBLightRanges,281,0.110673
JOBLightRanges,282,0.111823
JOBLightRanges,283,0.113596
JOBLightRanges,284,0.325244
JOBLightRanges,285,0.120201
