benchmark,query_idx,running_time_sec
JOBM,0,0.775462
JOBM,1,0.871318
JOBM,2,0.961107
JOBM,3,0.157695
JOBM,4,0.134679
JOBM,5,0.207778
JOBM,6,0.215141
JOBM,7,0.702795
JOBM,8,0.453468
JOBM,9,0.727370
JOBM,10,0.221624
JOBM,11,0.307137
JOBM,12,0.294492
JOBM,13,0.264714
JOBM,14,0.658061
JOBM,15,0.629140
JOBM,16,0.868686
JOBM,17,0.773999
JOBM,18,0.745246
JOBM,19,0.799733
JOBM,20,0.343123
JOBM,21,0.354779
JOBM,22,0.474072
JOBM,23,0.390234
JOBM,24,0.389553
JOBM,25,0.475736
JOBM,26,0.509702
JOBM,27,0.511127
JOBM,28,0.511838
JOBM,29,0.480348
JOBM,30,0.506664
JOBM,31,1.520892
JOBM,32,1.462896
JOBM,33,1.510453
JOBM,34,1.417427
JOBM,35,0.618745
JOBM,36,1.409134
JOBM,37,0.916013
JOBM,38,0.108843
JOBM,39,0.106808
JOBM,40,0.110023
JOBM,41,0.110415
JOBM,42,0.381341
JOBM,43,0.366839
JOBM,44,0.353829
JOBM,45,0.237564
JOBM,46,0.232745
JOBM,47,0.217593
JOBM,48,0.813199
JOBM,49,0.615342
JOBM,50,0.946207
JOBM,51,0.900569
JOBM,52,0.775550
JOBM,53,0.686108
JOBM,54,0.791584
JOBM,55,1.333178
JOBM,56,0.738939
JOBM,57,1.377467
JOBM,58,0.938256
JOBM,59,1.567481
JOBM,60,0.380222
JOBM,61,0.350626
JOBM,62,0.357481
JOBM,63,0.245232
JOBM,64,0.176925
JOBM,65,0.220806
JOBM,66,0.965589
JOBM,67,0.826047
JOBM,68,0.975902
JOBM,69,0.394848
JOBM,70,0.802837
JOBM,71,1.023409
JOBM,72,0.166427
JOBM,73,0.164702
JOBM,74,0.143411
JOBM,75,0.161064
JOBM,76,1.377707
JOBM,77,1.373817
JOBM,78,1.550338
JOBM,79,1.419678
JOBM,80,1.175503
JOBM,81,1.574861
JOBM,82,0.101984
JOBM,83,0.134924
JOBM,84,0.131670
JOBM,85,0.104459
JOBM,86,0.147928
JOBM,87,0.785848
JOBM,88,0.598593
JOBM,89,0.841553
JOBM,90,0.171087
JOBM,91,0.165109
JOBM,92,0.175368
JOBM,93,0.864693
JOBM,94,0.171302
JOBM,95,0.894045
JOBM,96,0.353870
JOBM,97,0.318006
JOBM,98,0.296925
JOBM,99,0.523942
JOBM,100,0.357788
JOBM,101,0.512040
JOBM,102,0.469543
JOBM,103,0.427505
JOBM,104,0.891663
JOBM,105,0.593194
JOBM,106,0.601549
JOBM,107,1.068640
JOBM,108,1.080058
JOBM,109,0.750853
JOBM,110,0.628179
JOBM,111,0.747834
JOBM,112,0.738727
