benchmark,query_idx,running_time_sec
STATS,0,0.023926
STATS,1,0.048133
STATS,2,0.030061
STATS,3,0.030221
STATS,4,0.057779
STATS,5,0.025341
STATS,6,0.027184
STATS,7,0.025954
STATS,8,0.034136
STATS,9,0.029210
STATS,10,0.027828
STATS,11,0.029914
STATS,12,0.025456
STATS,13,0.022325
STATS,14,0.053896
STATS,15,0.026176
STATS,16,0.022932
STATS,17,0.026675
STATS,18,0.022143
STATS,19,0.027201
STATS,20,0.025157
STATS,21,0.031818
STATS,22,0.024269
STATS,23,0.022444
STATS,24,0.029984
STATS,25,0.025650
STATS,26,0.026858
STATS,27,0.078709
STATS,28,0.031757
STATS,29,0.523825
STATS,30,0.047019
STATS,31,0.081427
STATS,32,0.036170
STATS,33,1.642596
STATS,34,0.034086
STATS,35,0.025834
STATS,36,0.042023
STATS,37,0.244359
STATS,38,0.037859
STATS,39,0.023951
STATS,40,0.025370
STATS,41,0.036857
STATS,42,0.052566
STATS,43,0.037359
STATS,44,0.027914
STATS,45,0.037703
STATS,46,0.264745
STATS,47,0.044924
STATS,48,0.078065
STATS,49,0.027609
STATS,50,0.323232
STATS,51,0.707802
STATS,52,0.029420
STATS,53,0.025540
STATS,54,0.025621
STATS,55,0.088104
STATS,56,0.024329
STATS,57,41.527442
STATS,58,0.239430
STATS,59,0.062660
STATS,60,0.040225
STATS,61,0.029043
STATS,62,0.027536
STATS,63,0.034927
STATS,64,0.030757
STATS,65,0.031427
STATS,66,0.027170
STATS,67,3.225379
STATS,68,0.320383
STATS,69,0.218565
STATS,70,0.162919
STATS,71,0.034315
STATS,72,0.038503
STATS,73,0.154275
STATS,74,0.066277
STATS,75,0.040665
STATS,76,0.057366
STATS,77,0.030145
STATS,78,0.055910
STATS,79,0.033912
STATS,80,0.027350
STATS,81,0.033421
STATS,82,0.035056
STATS,83,0.083092
STATS,84,0.083069
STATS,85,0.034552
STATS,86,0.032629
STATS,87,0.059216
STATS,88,0.033846
STATS,89,0.028233
STATS,90,0.041624
STATS,91,0.025073
STATS,92,0.032726
STATS,93,0.027175
STATS,94,0.064217
STATS,95,0.054528
STATS,96,0.156685
STATS,97,0.113097
STATS,98,0.036998
STATS,99,0.032936
STATS,100,0.039279
STATS,101,0.040154
STATS,102,0.037845
STATS,103,0.063632
STATS,104,0.441609
STATS,105,0.036873
STATS,106,1.486191
STATS,107,1.665582
STATS,108,0.040361
STATS,109,0.039028
STATS,110,0.046951
STATS,111,0.046124
STATS,112,0.086395
STATS,113,0.090701
STATS,114,0.146940
STATS,115,0.041022
STATS,116,0.037143
STATS,117,0.039448
STATS,118,0.037851
STATS,119,27.785007
STATS,120,0.035827
STATS,121,23.335594
STATS,122,0.373019
STATS,123,0.058105
STATS,124,0.030470
STATS,125,6.664404
STATS,126,0.035008
STATS,127,0.039026
STATS,128,0.043521
STATS,129,0.030171
STATS,130,0.057655
STATS,131,0.053010
STATS,132,0.096097
STATS,133,0.036886
STATS,134,4.951364
STATS,135,0.846635
STATS,136,0.028901
STATS,137,0.087467
STATS,138,0.043565
STATS,139,0.342242
STATS,140,0.723535
STATS,141,0.757487
STATS,142,0.398305
STATS,143,0.114039
STATS,144,0.038679
STATS,145,0.048461
