benchmark,query_idx,running_time_sec
JOBLight,0,0.032995
JOBLight,1,0.034822
JOBLight,2,0.034929
JOBLight,3,0.036374
JOBLight,4,0.082090
JOBLight,5,0.513137
JOBLight,6,0.216612
JOBLight,7,0.971461
JOBLight,8,0.091864
JOBLight,9,0.076736
JOBLight,10,0.110961
JOBLight,11,0.256180
JOBLight,12,0.193500
JOBLight,13,0.370063
JOBLight,14,0.285808
JOBLight,15,0.282315
JOBLight,16,0.229096
JOBLight,17,0.286856
JOBLight,18,1.306621
JOBLight,19,0.379492
JOBLight,20,0.374768
JOBLight,21,0.785791
JOBLight,22,0.526253
JOBLight,23,0.369986
JOBLight,24,0.089642
JOBLight,25,0.262312
JOBLight,26,0.161555
JOBLight,27,0.360065
JOBLight,28,0.230094
JOBLight,29,1.212125
JOBLight,30,0.070508
JOBLight,31,0.067457
JOBLight,32,0.365438
JOBLight,33,0.081040
JOBLight,34,0.039446
JOBLight,35,0.101753
JOBLight,36,0.105200
JOBLight,37,0.068160
JOBLight,38,0.108278
JOBLight,39,0.116372
JOBLight,40,1.497695
JOBLight,41,0.736511
JOBLight,42,1.808501
JOBLight,43,0.426485
JOBLight,44,0.459723
JOBLight,45,0.408450
JOBLight,46,0.650640
JOBLight,47,0.448180
JOBLight,48,1.037553
JOBLight,49,1.114890
JOBLight,50,1.336267
JOBLight,51,0.776961
JOBLight,52,0.180684
JOBLight,53,0.172405
JOBLight,54,0.182971
JOBLight,55,0.145203
JOBLight,56,0.138327
JOBLight,57,3.343749
JOBLight,58,0.139641
JOBLight,59,23.760448
JOBLight,60,3.882449
JOBLight,61,0.598964
JOBLight,62,0.718918
JOBLight,63,0.570827
JOBLight,64,0.161682
JOBLight,65,0.243558
JOBLight,66,0.188749
JOBLight,67,0.156950
JOBLight,68,0.149246
JOBLight,69,2.082342
