benchmark,query_idx,running_time_sec
JOBLightRanges,0,0.058133
JOBLightRanges,1,0.056375
JOBLightRanges,2,0.084878
JOBLightRanges,3,0.074400
JOBLightRanges,4,0.063268
JOBLightRanges,5,0.069650
JOBLightRanges,6,0.074034
JOBLightRanges,7,0.056458
JOBLightRanges,8,0.061512
JOBLightRanges,9,0.070448
JOBLightRanges,10,0.057172
JOBLightRanges,11,0.076542
JOBLightRanges,12,0.046825
JOBLightRanges,13,0.077441
JOBLightRanges,14,0.073986
JOBLightRanges,15,0.062800
JOBLightRanges,16,0.071892
JOBLightRanges,17,0.058720
JOBLightRanges,18,0.064485
JOBLightRanges,19,0.079206
JOBLightRanges,20,0.061095
JOBLightRanges,21,0.055549
JOBLightRanges,22,0.060031
JOBLightRanges,23,0.061282
JOBLightRanges,24,0.071258
JOBLightRanges,25,0.066746
JOBLightRanges,26,0.054806
JOBLightRanges,27,0.050106
JOBLightRanges,28,0.062041
JOBLightRanges,29,0.073351
JOBLightRanges,30,0.069653
JOBLightRanges,31,0.057591
JOBLightRanges,32,0.059670
JOBLightRanges,33,0.089601
JOBLightRanges,34,0.065435
JOBLightRanges,35,0.077784
JOBLightRanges,36,0.075299
JOBLightRanges,37,0.079514
JOBLightRanges,38,0.076159
JOBLightRanges,39,0.066996
JOBLightRanges,40,0.066664
JOBLightRanges,41,0.056798
JOBLightRanges,42,0.060491
JOBLightRanges,43,0.068297
JOBLightRanges,44,0.110075
JOBLightRanges,45,0.059161
JOBLightRanges,46,0.049200
JOBLightRanges,47,0.077954
JOBLightRanges,48,0.083325
JOBLightRanges,49,0.046667
JOBLightRanges,50,0.059422
JOBLightRanges,51,0.071034
JOBLightRanges,52,0.052255
JOBLightRanges,53,0.061241
JOBLightRanges,54,0.071443
JOBLightRanges,55,0.070438
JOBLightRanges,56,0.069258
JOBLightRanges,57,0.059193
JOBLightRanges,58,0.061836
JOBLightRanges,59,0.066701
JOBLightRanges,60,0.058070
JOBLightRanges,61,0.073182
JOBLightRanges,62,0.072978
JOBLightRanges,63,0.070029
JOBLightRanges,64,0.060213
JOBLightRanges,65,0.081835
JOBLightRanges,66,0.072826
JOBLightRanges,67,0.088457
JOBLightRanges,68,0.069175
JOBLightRanges,69,0.060266
JOBLightRanges,70,0.088866
JOBLightRanges,71,0.095820
JOBLightRanges,72,0.066070
JOBLightRanges,73,0.072037
JOBLightRanges,74,0.066704
JOBLightRanges,75,0.075086
JOBLightRanges,76,0.055661
JOBLightRanges,77,0.071310
JOBLightRanges,78,0.092721
JOBLightRanges,79,0.060005
JOBLightRanges,80,0.089040
JOBLightRanges,81,0.056835
JOBLightRanges,82,0.053710
JOBLightRanges,83,0.067420
JOBLightRanges,84,0.056266
JOBLightRanges,85,0.055704
JOBLightRanges,86,0.060326
JOBLightRanges,87,0.066418
JOBLightRanges,88,0.061069
JOBLightRanges,89,0.082858
JOBLightRanges,90,0.064298
JOBLightRanges,91,0.054862
JOBLightRanges,92,0.087874
JOBLightRanges,93,0.072236
JOBLightRanges,94,0.074046
JOBLightRanges,95,0.091212
JOBLightRanges,96,0.065201
JOBLightRanges,97,0.065273
JOBLightRanges,98,0.096457
JOBLightRanges,99,0.048545
JOBLightRanges,100,0.059361
JOBLightRanges,101,0.064510
JOBLightRanges,102,0.064943
JOBLightRanges,103,0.097903
JOBLightRanges,104,0.062633
JOBLightRanges,105,0.051870
JOBLightRanges,106,0.097739
JOBLightRanges,107,0.056651
JOBLightRanges,108,0.064888
JOBLightRanges,109,0.080477
JOBLightRanges,110,0.075913
JOBLightRanges,111,0.086023
JOBLightRanges,112,0.070070
JOBLightRanges,113,0.119079
JOBLightRanges,114,0.055530
JOBLightRanges,115,0.072051
JOBLightRanges,116,0.063063
JOBLightRanges,117,0.097788
JOBLightRanges,118,0.129400
JOBLightRanges,119,0.038861
JOBLightRanges,120,0.061226
JOBLightRanges,121,0.071504
JOBLightRanges,122,0.073551
JOBLightRanges,123,0.137410
JOBLightRanges,124,0.061221
JOBLightRanges,125,0.079897
JOBLightRanges,126,0.064801
JOBLightRanges,127,0.063533
JOBLightRanges,128,0.067998
JOBLightRanges,129,0.172869
JOBLightRanges,130,0.032793
JOBLightRanges,131,0.137063
JOBLightRanges,132,0.061234
JOBLightRanges,133,0.106280
JOBLightRanges,134,0.122067
JOBLightRanges,135,0.102044
JOBLightRanges,136,0.086252
JOBLightRanges,137,0.052924
JOBLightRanges,138,0.853930
JOBLightRanges,139,0.060794
JOBLightRanges,140,0.089881
JOBLightRanges,141,0.114144
JOBLightRanges,142,0.077597
JOBLightRanges,143,0.067319
JOBLightRanges,144,0.053901
JOBLightRanges,145,0.072315
JOBLightRanges,146,0.052356
JOBLightRanges,147,0.099210
JOBLightRanges,148,0.068114
JOBLightRanges,149,0.057123
JOBLightRanges,150,0.100368
JOBLightRanges,151,0.083674
JOBLightRanges,152,0.063882
JOBLightRanges,153,0.061796
JOBLightRanges,154,0.065726
JOBLightRanges,155,0.057116
JOBLightRanges,156,0.066585
JOBLightRanges,157,0.116415
JOBLightRanges,158,0.050605
JOBLightRanges,159,0.059075
JOBLightRanges,160,0.115939
JOBLightRanges,161,0.071853
JOBLightRanges,162,0.097460
JOBLightRanges,163,0.057575
JOBLightRanges,164,0.064710
JOBLightRanges,165,0.056504
JOBLightRanges,166,0.042883
JOBLightRanges,167,0.071288
JOBLightRanges,168,0.071828
JOBLightRanges,169,0.062001
JOBLightRanges,170,0.082709
JOBLightRanges,171,0.074967
JOBLightRanges,172,0.108029
JOBLightRanges,173,0.070417
JOBLightRanges,174,0.058607
JOBLightRanges,175,0.058802
JOBLightRanges,176,0.084868
JOBLightRanges,177,0.062665
JOBLightRanges,178,0.057062
JOBLightRanges,179,0.085298
JOBLightRanges,180,0.069779
JOBLightRanges,181,0.082438
JOBLightRanges,182,0.059495
JOBLightRanges,183,0.037508
JOBLightRanges,184,0.061203
JOBLightRanges,185,0.052793
JOBLightRanges,186,0.051513
JOBLightRanges,187,0.062728
JOBLightRanges,188,0.073605
JOBLightRanges,189,0.071177
JOBLightRanges,190,0.082217
JOBLightRanges,191,0.068810
JOBLightRanges,192,0.103643
JOBLightRanges,193,0.056464
JOBLightRanges,194,0.052772
JOBLightRanges,195,0.056628
JOBLightRanges,196,0.051644
JOBLightRanges,197,0.054089
JOBLightRanges,198,0.057382
JOBLightRanges,199,0.072195
JOBLightRanges,200,0.084707
JOBLightRanges,201,0.064355
JOBLightRanges,202,0.067737
JOBLightRanges,203,0.056321
JOBLightRanges,204,0.056672
JOBLightRanges,205,0.077827
JOBLightRanges,206,0.079504
JOBLightRanges,207,0.086073
JOBLightRanges,208,0.045609
JOBLightRanges,209,0.067504
JOBLightRanges,210,0.067499
JOBLightRanges,211,0.075871
JOBLightRanges,212,0.068535
JOBLightRanges,213,0.065329
JOBLightRanges,214,0.055183
JOBLightRanges,215,0.059733
JOBLightRanges,216,0.081553
JOBLightRanges,217,0.067839
JOBLightRanges,218,0.079009
JOBLightRanges,219,0.057759
JOBLightRanges,220,0.087451
JOBLightRanges,221,0.140288
JOBLightRanges,222,0.066188
JOBLightRanges,223,0.101764
JOBLightRanges,224,0.076686
JOBLightRanges,225,0.096531
JOBLightRanges,226,0.052850
JOBLightRanges,227,0.054394
JOBLightRanges,228,0.093702
JOBLightRanges,229,0.067378
JOBLightRanges,230,0.078032
JOBLightRanges,231,0.184345
JOBLightRanges,232,0.067737
JOBLightRanges,233,0.073925
JOBLightRanges,234,0.071192
JOBLightRanges,235,0.057547
JOBLightRanges,236,0.073715
JOBLightRanges,237,0.055746
JOBLightRanges,238,0.251247
JOBLightRanges,239,0.066568
JOBLightRanges,240,0.060750
JOBLightRanges,241,0.071261
JOBLightRanges,242,0.073534
JOBLightRanges,243,0.076509
JOBLightRanges,244,0.228738
JOBLightRanges,245,0.069979
JOBLightRanges,246,0.245068
JOBLightRanges,247,0.060848
JOBLightRanges,248,0.088820
JOBLightRanges,249,0.088078
JOBLightRanges,250,0.150758
JOBLightRanges,251,0.176108
JOBLightRanges,252,0.069360
JOBLightRanges,253,0.108435
JOBLightRanges,254,0.228629
JOBLightRanges,255,0.058333
JOBLightRanges,256,0.072171
JOBLightRanges,257,0.080229
JOBLightRanges,258,0.072469
JOBLightRanges,259,0.065165
JOBLightRanges,260,0.101184
JOBLightRanges,261,0.136480
JOBLightRanges,262,0.088174
JOBLightRanges,263,0.163233
JOBLightRanges,264,0.064621
JOBLightRanges,265,0.069890
JOBLightRanges,266,0.076137
JOBLightRanges,267,0.064598
JOBLightRanges,268,0.055244
JOBLightRanges,269,0.054978
JOBLightRanges,270,0.069580
JOBLightRanges,271,0.225068
JOBLightRanges,272,0.083127
JOBLightRanges,273,0.086898
JOBLightRanges,274,0.174514
JOBLightRanges,275,0.260309
JOBLightRanges,276,0.147905
JOBLightRanges,277,0.242515
JOBLightRanges,278,0.077293
JOBLightRanges,279,0.134998
JOBLightRanges,280,0.270785
JOBLightRanges,281,0.115687
JOBLightRanges,282,0.118451
JOBLightRanges,283,0.115928
JOBLightRanges,284,0.335047
JOBLightRanges,285,0.125316
JOBLightRanges,286,0.089707
JOBLightRanges,287,0.093703
JOBLightRanges,288,0.506731
JOBLightRanges,289,0.244484
JOBLightRanges,290,0.217390
JOBLightRanges,291,0.251108
JOBLightRanges,292,0.217928
JOBLightRanges,293,0.093291
JOBLightRanges,294,0.090186
JOBLightRanges,295,0.148913
JOBLightRanges,296,0.272637
JOBLightRanges,297,0.242744
JOBLightRanges,298,0.322653
JOBLightRanges,299,0.146580
JOBLightRanges,300,0.283171
JOBLightRanges,301,0.203140
JOBLightRanges,302,0.307224
JOBLightRanges,303,0.091674
JOBLightRanges,304,0.161207
JOBLightRanges,305,0.142362
JOBLightRanges,306,0.156338
JOBLightRanges,307,0.278295
JOBLightRanges,308,0.062453
JOBLightRanges,309,0.256644
JOBLightRanges,310,0.325735
JOBLightRanges,311,0.221765
JOBLightRanges,312,0.086172
JOBLightRanges,313,0.156507
JOBLightRanges,314,0.135763
JOBLightRanges,315,0.257477
JOBLightRanges,316,0.083140
JOBLightRanges,317,0.199465
JOBLightRanges,318,0.200425
JOBLightRanges,319,0.113917
JOBLightRanges,320,0.265157
JOBLightRanges,321,0.367800
JOBLightRanges,322,0.122405
JOBLightRanges,323,0.279395
JOBLightRanges,324,0.091779
JOBLightRanges,325,0.106499
JOBLightRanges,326,0.503298
JOBLightRanges,327,0.244266
JOBLightRanges,328,0.108735
JOBLightRanges,329,0.103096
JOBLightRanges,330,0.279896
JOBLightRanges,331,0.071291
JOBLightRanges,332,0.132783
JOBLightRanges,333,0.260075
JOBLightRanges,334,0.153543
JOBLightRanges,335,0.122123
JOBLightRanges,336,0.274794
JOBLightRanges,337,0.338208
JOBLightRanges,338,0.214737
JOBLightRanges,339,0.127860
JOBLightRanges,340,0.134577
JOBLightRanges,341,0.151606
JOBLightRanges,342,0.096192
JOBLightRanges,343,0.106797
JOBLightRanges,344,0.141149
JOBLightRanges,345,0.090862
JOBLightRanges,346,0.110289
JOBLightRanges,347,0.142393
JOBLightRanges,348,0.295023
JOBLightRanges,349,0.195922
JOBLightRanges,350,0.105904
JOBLightRanges,351,0.227877
JOBLightRanges,352,0.082902
JOBLightRanges,353,0.165812
JOBLightRanges,354,0.182585
JOBLightRanges,355,0.306198
JOBLightRanges,356,0.187420
JOBLightRanges,357,0.106697
JOBLightRanges,358,0.222212
JOBLightRanges,359,0.194397
JOBLightRanges,360,0.108953
JOBLightRanges,361,0.129684
JOBLightRanges,362,0.113403
JOBLightRanges,363,0.183914
JOBLightRanges,364,0.102477
JOBLightRanges,365,0.192297
JOBLightRanges,366,0.128882
JOBLightRanges,367,0.274447
JOBLightRanges,368,0.072840
JOBLightRanges,369,0.072341
JOBLightRanges,370,0.189215
JOBLightRanges,371,0.229982
JOBLightRanges,372,0.073705
JOBLightRanges,373,0.128422
JOBLightRanges,374,0.197983
JOBLightRanges,375,0.188699
JOBLightRanges,376,0.091215
JOBLightRanges,377,0.255801
JOBLightRanges,378,0.064699
JOBLightRanges,379,0.204769
JOBLightRanges,380,0.230389
JOBLightRanges,381,0.149630
JOBLightRanges,382,0.079589
JOBLightRanges,383,0.092769
JOBLightRanges,384,0.201775
JOBLightRanges,385,0.209318
JOBLightRanges,386,0.113969
JOBLightRanges,387,0.087997
JOBLightRanges,388,0.122596
JOBLightRanges,389,0.474980
JOBLightRanges,390,0.149513
JOBLightRanges,391,0.082979
JOBLightRanges,392,0.070314
JOBLightRanges,393,0.142469
JOBLightRanges,394,0.096601
JOBLightRanges,395,0.052945
JOBLightRanges,396,0.087793
JOBLightRanges,397,0.429142
JOBLightRanges,398,0.151285
JOBLightRanges,399,0.171687
JOBLightRanges,400,0.122136
JOBLightRanges,401,0.099019
JOBLightRanges,402,0.174007
JOBLightRanges,403,0.096912
JOBLightRanges,404,0.129995
JOBLightRanges,405,0.116422
JOBLightRanges,406,0.087933
JOBLightRanges,407,0.259990
JOBLightRanges,408,0.106942
JOBLightRanges,409,0.074407
JOBLightRanges,410,0.272002
JOBLightRanges,411,0.301706
JOBLightRanges,412,0.086077
JOBLightRanges,413,0.089018
JOBLightRanges,414,0.472036
JOBLightRanges,415,0.149374
JOBLightRanges,416,0.185160
JOBLightRanges,417,0.186350
JOBLightRanges,418,0.162459
JOBLightRanges,419,0.320120
JOBLightRanges,420,0.107005
JOBLightRanges,421,0.166746
JOBLightRanges,422,0.277354
JOBLightRanges,423,0.422341
JOBLightRanges,424,0.402725
JOBLightRanges,425,0.112523
JOBLightRanges,426,0.092593
JOBLightRanges,427,0.144397
JOBLightRanges,428,0.086452
JOBLightRanges,429,0.110669
JOBLightRanges,430,0.100852
JOBLightRanges,431,0.098295
JOBLightRanges,432,0.161638
JOBLightRanges,433,0.297426
JOBLightRanges,434,0.257546
JOBLightRanges,435,0.373164
JOBLightRanges,436,0.109138
JOBLightRanges,437,0.083982
JOBLightRanges,438,0.177856
JOBLightRanges,439,0.069853
JOBLightRanges,440,0.079239
JOBLightRanges,441,0.101986
JOBLightRanges,442,0.056818
JOBLightRanges,443,0.239667
JOBLightRanges,444,0.178786
JOBLightRanges,445,0.062304
JOBLightRanges,446,0.260588
JOBLightRanges,447,0.180853
JOBLightRanges,448,0.061668
JOBLightRanges,449,0.094914
JOBLightRanges,450,0.063268
JOBLightRanges,451,0.079147
JOBLightRanges,452,0.120523
JOBLightRanges,453,0.053704
JOBLightRanges,454,0.161024
JOBLightRanges,455,0.061129
JOBLightRanges,456,0.145128
JOBLightRanges,457,0.093045
JOBLightRanges,458,0.077724
JOBLightRanges,459,0.098930
JOBLightRanges,460,0.058299
JOBLightRanges,461,0.143096
JOBLightRanges,462,0.094023
JOBLightRanges,463,0.072014
JOBLightRanges,464,0.061231
JOBLightRanges,465,0.080333
JOBLightRanges,466,0.111341
JOBLightRanges,467,0.235567
JOBLightRanges,468,0.077324
JOBLightRanges,469,0.091340
JOBLightRanges,470,0.074823
JOBLightRanges,471,0.129465
JOBLightRanges,472,0.059415
JOBLightRanges,473,0.197784
JOBLightRanges,474,0.097860
JOBLightRanges,475,0.107545
JOBLightRanges,476,0.099937
JOBLightRanges,477,0.090725
JOBLightRanges,478,0.125873
JOBLightRanges,479,0.075711
JOBLightRanges,480,0.102377
JOBLightRanges,481,0.213770
JOBLightRanges,482,0.063472
JOBLightRanges,483,0.131098
JOBLightRanges,484,0.111284
JOBLightRanges,485,0.068152
JOBLightRanges,486,0.062312
JOBLightRanges,487,0.074762
JOBLightRanges,488,0.054721
JOBLightRanges,489,0.146309
JOBLightRanges,490,0.088715
JOBLightRanges,491,0.080274
JOBLightRanges,492,0.058584
JOBLightRanges,493,0.065017
JOBLightRanges,494,0.094251
JOBLightRanges,495,0.046776
JOBLightRanges,496,0.064588
JOBLightRanges,497,0.074971
JOBLightRanges,498,0.067446
JOBLightRanges,499,0.080633
