benchmark,query_idx,running_time_sec
JOBM,0,0.864907
JOBM,1,0.874751
JOBM,2,0.964888
JOBM,3,0.115717
JOBM,4,0.160551
JOBM,5,0.112637
JOBM,6,0.107621
JOBM,7,0.710866
JOBM,8,0.444681
JOBM,9,0.744989
JOBM,10,0.212952
JOBM,11,0.305610
JOBM,12,0.295459
JOBM,13,0.264670
JOBM,14,0.854876
JOBM,15,0.644697
JOBM,16,0.864609
JOBM,17,0.766085
JOBM,18,0.707716
JOBM,19,0.794363
JOBM,20,0.334077
JOBM,21,0.359853
JOBM,22,0.485690
JOBM,23,0.385664
JOBM,24,0.400280
JOBM,25,0.484138
JOBM,26,0.520522
JOBM,27,0.512743
JOBM,28,0.517285
JOBM,29,0.476468
JOBM,30,0.518981
JOBM,31,1.533249
JOBM,32,1.475464
JOBM,33,1.542218
JOBM,34,1.438842
JOBM,35,0.625646
JOBM,36,1.420576
JOBM,37,0.902550
JOBM,38,0.114300
JOBM,39,0.110560
JOBM,40,0.118814
JOBM,41,0.113748
JOBM,42,0.374417
JOBM,43,0.367678
JOBM,44,0.357278
JOBM,45,0.198185
JOBM,46,0.189255
JOBM,47,0.191586
JOBM,48,0.829237
JOBM,49,0.814084
JOBM,50,0.959943
JOBM,51,0.898489
JOBM,52,0.762815
JOBM,53,0.690585
JOBM,54,0.772502
JOBM,55,1.354802
JOBM,56,0.756671
JOBM,57,1.316550
JOBM,58,1.374838
JOBM,59,1.551544
JOBM,60,0.406585
JOBM,61,0.373664
JOBM,62,0.366287
JOBM,63,0.187492
JOBM,64,0.137518
JOBM,65,0.188020
JOBM,66,0.952370
JOBM,67,0.801898
JOBM,68,0.967711
JOBM,69,0.396792
JOBM,70,0.805876
JOBM,71,1.027092
JOBM,72,0.146435
JOBM,73,0.141017
JOBM,74,0.113389
JOBM,75,0.158839
JOBM,76,1.362905
JOBM,77,1.362273
JOBM,78,1.556546
JOBM,79,1.246943
JOBM,80,1.203480
JOBM,81,1.541327
JOBM,82,0.103589
JOBM,83,0.101751
JOBM,84,0.095670
JOBM,85,0.096905
JOBM,86,0.103052
JOBM,87,0.840905
JOBM,88,0.615277
JOBM,89,0.841489
JOBM,90,0.173401
JOBM,91,0.160611
JOBM,92,0.170219
JOBM,93,0.108926
JOBM,94,0.173259
JOBM,95,0.833143
JOBM,96,0.358029
JOBM,97,0.327796
JOBM,98,0.312697
JOBM,99,0.517693
JOBM,100,0.368077
JOBM,101,0.515872
JOBM,102,0.477196
JOBM,103,0.433333
JOBM,104,0.908390
JOBM,105,0.581850
JOBM,106,0.590105
JOBM,107,1.067987
JOBM,108,1.082260
JOBM,109,0.845248
JOBM,110,0.617599
JOBM,111,0.728488
JOBM,112,0.731942
