benchmark,query_idx,running_time_sec
STATS,0,0.023066
STATS,1,0.049179
STATS,2,0.030080
STATS,3,0.031817
STATS,4,0.058465
STATS,5,0.026551
STATS,6,0.028286
STATS,7,0.026071
STATS,8,0.035281
STATS,9,0.030003
STATS,10,0.029944
STATS,11,0.032607
STATS,12,0.028782
STATS,13,0.027011
STATS,14,0.057887
STATS,15,0.027152
STATS,16,0.024804
STATS,17,0.026824
STATS,18,0.023317
STATS,19,0.027138
STATS,20,0.026568
STATS,21,0.034341
STATS,22,0.027122
STATS,23,0.022297
STATS,24,0.031351
STATS,25,0.026578
STATS,26,0.028267
STATS,27,0.078426
STATS,28,0.032962
STATS,29,0.522643
STATS,30,0.044173
STATS,31,0.116178
STATS,32,0.028925
STATS,33,1.078430
STATS,34,0.034873
STATS,35,0.027244
STATS,36,0.044419
STATS,37,0.252376
STATS,38,0.039565
STATS,39,0.024592
STATS,40,0.022560
STATS,41,0.036209
STATS,42,0.050329
STATS,43,0.038156
STATS,44,0.026382
STATS,45,0.038401
STATS,46,0.144839
STATS,47,0.029142
STATS,48,0.071911
STATS,49,0.027902
STATS,50,0.301660
STATS,51,0.706765
STATS,52,0.032187
STATS,53,0.024628
STATS,54,0.025453
STATS,55,0.068723
STATS,56,0.025452
STATS,57,37.069633
STATS,58,0.324056
STATS,59,0.093988
STATS,60,0.035781
STATS,61,0.027455
STATS,62,0.028775
STATS,63,0.033925
STATS,64,0.030968
STATS,65,0.033355
STATS,66,0.030955
STATS,67,3.222909
STATS,68,0.283385
STATS,69,0.214720
STATS,70,0.165300
STATS,71,0.035482
STATS,72,0.035801
STATS,73,0.222890
STATS,74,0.066035
STATS,75,0.039861
STATS,76,0.052752
STATS,77,0.032299
STATS,78,0.054347
STATS,79,0.034189
STATS,80,0.030241
STATS,81,0.038002
STATS,82,0.038532
STATS,83,0.058274
STATS,84,0.058308
STATS,85,0.034692
STATS,86,0.031627
STATS,87,0.056750
STATS,88,0.033205
STATS,89,0.030815
STATS,90,0.045464
STATS,91,0.027194
STATS,92,0.032291
STATS,93,0.028112
STATS,94,0.068071
STATS,95,0.063116
STATS,96,0.184349
STATS,97,0.132261
STATS,98,0.036047
STATS,99,0.033949
STATS,100,0.038772
STATS,101,0.039675
STATS,102,0.037542
STATS,103,0.080926
STATS,104,0.442451
STATS,105,0.034101
STATS,106,1.475582
STATS,107,1.087507
STATS,108,0.040843
STATS,109,0.040778
STATS,110,0.046520
STATS,111,0.047518
STATS,112,0.085448
STATS,113,0.077443
STATS,114,0.148232
STATS,115,0.033072
STATS,116,0.035791
STATS,117,0.039821
STATS,118,0.036511
STATS,119,28.363352
STATS,120,0.037772
STATS,121,23.080095
STATS,122,0.463705
STATS,123,0.055696
STATS,124,0.029811
STATS,125,6.739948
STATS,126,0.035656
STATS,127,0.039479
STATS,128,0.042617
STATS,129,0.032592
STATS,130,0.039173
STATS,131,0.030190
STATS,132,0.097173
STATS,133,0.029466
STATS,134,4.780537
STATS,135,0.795046
STATS,136,0.030716
STATS,137,0.070906
STATS,138,0.042956
STATS,139,0.289589
STATS,140,0.724875
STATS,141,0.754615
STATS,142,0.387487
STATS,143,0.133915
STATS,144,0.037726
STATS,145,0.047200
