benchmark,compress_precision,build_time_sec,build_time_min,build_time_max,statistics_size_bytes,statistics_size_mb
STATS,1.1,0.3198346296946208,0.3162264823913574,0.3237297534942627,400033,0.3815011978149414
STATS,1.2,0.3042167027791341,0.2977454662322998,0.3086230754852295,238481,0.2274332046508789
STATS,1.5,0.2982153097788493,0.2967853546142578,0.2997763156890869,128161,0.1222238540649414
STATS,2.0,0.290542205174764,0.28803277015686035,0.29274511337280273,84209,0.0803079605102539
JOBM,1.1,35.52107882499695,34.794557332992554,35.94211745262146,4678792,4.462043762207031
JOBM,1.2,36.09781710306803,34.20364832878113,37.86407136917114,2715016,2.5892410278320312
JOBM,1.5,35.32451796531677,34.80737924575806,36.02751898765564,1414344,1.3488235473632812
JOBM,2.0,37.575427532196045,35.784226179122925,39.085204124450684,944152,0.9004135131835938
JOBLight,1.1,6.973305304845174,6.793302059173584,7.131366014480591,324462,0.3094310760498047
JOBLight,1.2,6.719995896021525,6.643667936325073,6.802165269851685,185390,0.1768016815185547
JOBLight,1.5,7.12916882832845,6.688161611557007,7.457762002944946,94558,0.09017753601074219
JOBLight,2.0,6.861598173777263,6.581042528152466,7.0046727657318115,61550,0.05869865417480469
JOBLightRanges,1.1,7.162489175796509,6.917175769805908,7.449231386184692,324462,0.3094310760498047
JOBLightRanges,1.2,7.008956114451091,6.937533378601074,7.120881795883179,185390,0.1768016815185547
JOBLightRanges,1.5,6.924553632736206,6.759680271148682,7.065806150436401,94558,0.09017753601074219
JOBLightRanges,2.0,7.44951868057251,7.15397834777832,7.637894630432129,61550,0.05869865417480469
