benchmark,variant,variant_label,enable_star_split,max_star_size,build_time_sec,build_time_min,build_time_max,statistics_size_bytes,statistics_size_mb
STATS,baseline,Baseline,0,3,0.12016383806864421,0.11927390098571777,0.1210331916809082,128161,0.1222238540649414
STATS,star3,max_fanout(3),1,3,0.10997867584228516,0.10939598083496094,0.11096477508544922,68139,0.06498241424560547
STATS,star4,max_fanout(4),1,4,0.11978602409362793,0.11580753326416016,0.12447285652160645,109103,0.1040487289428711
STATS,star5,max_fanout(5),1,5,0.12137977282206218,0.1181633472442627,0.12460827827453613,125651,0.11983013153076172
JOBM,baseline,Baseline,0,3,12.635509490966797,12.363497495651245,12.898263692855835,1414344,1.3488235473632812
JOBM,star3,max_fanout(3),1,3,6.057423830032349,6.018209218978882,6.080223560333252,182818,0.1743488311767578
JOBM,star4,max_fanout(4),1,4,7.97865088780721,7.956820249557495,8.018743753433228,487171,0.4646024703979492
JOBM,star5,max_fanout(5),1,5,9.93420958518982,9.789995193481445,10.095994710922241,882983,0.8420782089233398
JOBLight,baseline,Baseline,0,3,2.8013433615366616,2.7081797122955322,2.9049596786499023,94558,0.09017753601074219
JOBLight,star3,max_fanout(3),1,3,2.636945962905884,2.6257548332214355,2.644167900085449,41230,0.03931999206542969
JOBLight,star4,max_fanout(4),1,4,2.752736806869507,2.728926420211792,2.7655506134033203,73886,0.07046318054199219
JOBLight,star5,max_fanout(5),1,5,2.9557313124338784,2.9003281593322754,2.9883298873901367,91098,0.08687782287597656
JOBLightRanges,baseline,Baseline,0,3,2.869909127553304,2.8388590812683105,2.916356086730957,94558,0.09017753601074219
JOBLightRanges,star3,max_fanout(3),1,3,2.6216452916463218,2.6044929027557373,2.6518523693084717,41230,0.03931999206542969
JOBLightRanges,star4,max_fanout(4),1,4,2.756709416707357,2.727362871170044,2.804933786392212,73886,0.07046318054199219
JOBLightRanges,star5,max_fanout(5),1,5,2.898064374923706,2.8650243282318115,2.9437108039855957,91098,0.08687782287597656
